generated_qwen3_4b_pdapt_slerp
"{""question1"": ""Quelle est la principale différence entre la sanction et l'indemnisation dans le cadre de la responsabilité des professionnels de santé?"", ""option_a1"": ""La sanction est réservée aux professionnels de santé, tandis que l'indemnisation peut être obtenue par les établissements de santé."", ""option_b1"": ""La sanction est une mesure pénale, tandis que l'indemnisation est une mesure civile."", ""option_c1"": ""La sanction est réservée aux professionnels de santé, tandis que l'indemnisation est réservée aux établissements de santé."", ""option_d1"": ""La sanction est une mesure disciplinaire, tandis que l'indemnisation est une mesure pénale."", ""correct_option1"": ""b"", ""question2"": ""Quel type de dommage peut être indemnisé en cas de défaut d'information?"", ""option_a2"": ""Une atteinte à l'intégrité physique uniquement."", ""option_b2"": ""Une perte de chance de survie ou de guérison."", ""option_c2"": ""Une perte de chance d'avoir échappé à un risque qui s'est finalement réalisé."", ""option_d2"": ""Une perte de chance de survie ou de guérison et une perte de chance d'avoir échappé à un risque qui s'est finalement réalisé."", ""correct_option2"": ""d""}"
"{""question1"": ""Quel type de responsabilité civile engagent les professionnels exerçant à titre libéral et les établissements de santé privés?"", ""option_a1"": ""Responsabilité civile devant les juridictions de l’ordre judiciaire"", ""option_b1"": ""Responsabilité civile devant les juridictions de l’ordre administratif"", ""option_c1"": ""Responsabilité civile devant les juridictions de l’ordre disciplinaire"", ""option_d1"": ""Responsabilité civile devant les juridictions de l’ordre pénal"", ""correct_option1"": ""a"", ""question2"": ""Quel est le régime de responsabilité des médecins salariés d’établissements, services ou organismes privés?"", ""option_a2"": ""Responsabilité civile personnelle"", ""option_b2"": ""Responsabilité civile collective"", ""option_c2"": ""Responsabilité civile du commettant"", ""option_d2"": ""Responsabilité civile du salarié"", ""correct_option2"": ""c""}"
"{""question1"": ""Quelle est la responsabilité engagée par un médecin hospitalier pour les actes qu'il réalise?"", ""option_a1"": ""La responsabilité civile personnelle du médecin"", ""option_b1"": ""La responsabilité pénale du médecin"", ""option_c1"": ""La responsabilité administrative de l'établissement public de santé"", ""option_d1"": ""La responsabilité disciplinaire du médecin"", ""correct_option1"": ""c"", ""question2"": ""Quelle est la typologie des fautes susceptibles d'engager la responsabilité du service public selon la jurisprudence administrative?"", ""option_a2"": ""La faute de service et la faute personnelle"", ""option_b2"": ""La faute de service et la faute dans l'organisation du service"", ""option_c2"": ""La faute dans l'organisation du service et la faute personnelle"", ""option_d2"": ""La faute de service et la faute dans le fonctionnement du service"", ""correct_option2"": ""b""}"
"{""question1"": ""Quel est le meilleur moyen de se protéger contre la grippe chez la femme enceinte?"", ""option_a1"": ""Utilisation de vaccins vivants atténués"", ""option_b1"": ""Prise de médicaments antiviraux"", ""option_c1"": ""Vaccination antigrippale inactivée"", ""option_d1"": ""Prise de paracétamol"", ""correct_option1"": ""c"", ""question2"": ""Quelles sont les mesures d'hygiène recommandées pour réduire la transmission de la grippe?"", ""option_a2"": ""Port de masque, solutions hydroalcooliques, limitation des visites"", ""option_b2"": ""Prise de médicaments antiviraux"", ""option_c2"": ""Vaccination antigrippale inactivée"", ""option_d2"": ""Prise de paracétamol"", ""correct_option2"": ""a""}"
"{""question1"": ""Quel est le principal risque associé à l'allo-immunisation antiérythrocytaire chez le fœtus?"", ""option_a1"": ""Anémie fœtale"", ""option_b1"": ""Prééclampsie"", ""option_c1"": ""Diabète gestationnel"", ""option_d1"": ""Présentation du siège"", ""correct_option1"": ""a"", ""question2"": ""Quel est le principal antigène de groupe sanguin impliqué dans les allo-immunisations antiérythrocytaire les plus fréquentes et les plus graves?"", ""option_a2"": ""Antigène A"", ""option_b2"": ""Antigène B"", ""option_c2"": ""Antigène D (Rh1)"", ""option_d2"": ""Antigène E"", ""correct_option2"": ""c""}"
"{""question1"": ""Quel examen est obligatoire en cas de RAI positive chez une femme Rhésus D négatif (Rh-) ou précédemment transfusée?"", ""option_a1"": ""Détermination du groupe sanguin"", ""option_b1"": ""Recherche d'agglutinines irrégulières (RAI) au 1er trimestre"", ""option_c1"": ""Identification de l'anticorps et son titrage"", ""option_d1"": ""Dosage pondéral de l'anticorps"", ""correct_option1"": ""c"", ""question2"": ""Quel est l'objectif principal de l'identification de l'anticorps en cas de RAI positive?"", ""option_a2"": ""Déterminer le groupe sanguin de la mère"", ""option_b2"": ""Évaluer le risque de complications fœtales ou néonatales"", ""option_c2"": ""Déterminer le groupe sanguin du fœtus"", ""option_d2"": ""Évaluer le risque de transfusion sanguine"", ""correct_option2"": ""b""}"
"{""question1"": ""Quelle est la méthode de prévention de l'allo-immunisation anti-D (Rh1) durant la grossesse chez les patientes de RhD- avec un fœtus de rhésus positif certain ou présumé?"", ""option_a1"": ""Injection d'immunoglobulines spécifiques (anti-D) uniquement si une hémorragie fœto-maternelle est détectée"", ""option_b1"": ""Injection d'immunoglobulines spécifiques (anti-D) systématiquement au début du 3ème trimestre de la grossesse"", ""option_c1"": ""Injection d'immunoglobulines spécifiques (anti-D) uniquement si une métrorragie est détectée"", ""option_d1"": ""Injection d'immunoglobulines spécifiques (anti-D) uniquement si une fausse couche spontanée est détectée"", ""correct_option1"": ""b"", ""question2"": ""Quelles sont les circonstances à risque d'hémorragie fœto-maternelle qui nécessitent une injection d'immunoglobulines spécifiques (anti-D) chez les patientes de RhD- avec un fœtus de rhésus positif certain ou présumé?"", ""option_a2"": ""Métrorragies, fausse couche spontanée, interruption volontaire de grossesse, grossesse extra-utérine, prélèvements ovulaires, traumatisme abdominal, version par manœuvre externe, accouchement"", ""option_b2"": ""Métrorragies, fausse couche spontanée, interruption volontaire de grossesse, grossesse extra-utérine, prélèvements ovulaires, traumatisme abdominal, version par manœuvre externe, accouchement, injection d'immunoglobulines spécifiques (anti-D) systématiquement au début du 3ème trimestre de la grossesse"", ""option_c2"": ""Métrorragies, fausse couche spontanée, interruption volontaire de grossesse, grossesse extra-utérine, prélèvements ovulaires, traumatisme abdominal, version par manœuvre externe, accouchement, injection d'immunoglobulines spécifiques (anti-D) uniquement si une hémorragie fœto-maternelle est détectée"", ""option_d2"": ""Métrorragies, fausse couche spontanée, interruption volontaire de grossesse, grossesse extra-utérine, prélèvements ovulaires, traumatisme abdominal, version par manœuvre externe, accouchement, injection d'immunoglobulines spécifiques (anti-D) uniquement si une métrorragie est détectée"", ""correct_option2"": ""a""}"
"{""question1"": ""Quel est le test effectué sur un échantillon de sang maternel prélevé au minimum 30 minutes après la délivrance si le génotypage du rhésus était positif au cours de la grossesse?"", ""option_a1"": ""Test de Kleihauer"", ""option_b1"": ""Test de Coombs"", ""option_c1"": ""Test de Kleihauer et test de Coombs"", ""option_d1"": ""Aucun test"", ""correct_option1"": ""a"", ""question2"": ""Quelle est la durée maximale après laquelle une injection d'immunoglobulines anti-D peut être réalisée en cas d'oubli d'administration dans les premières 72 heures?"", ""option_a2"": ""1 semaine"", ""option_b2"": ""1 mois"", ""option_c2"": ""3 mois"", ""option_d2"": ""6 mois"", ""correct_option2"": ""b""}"
"{""question1"": ""Quelle est la première étape à suivre lors de la consultation d'une patiente prenant un traitement et ne se sachant pas enceinte?"", ""option_a1"": ""Consigner les circonstances de la prise médicamenteuse : durée, quantité et indication"", ""option_b1"": ""Évaluer le bénéfice maternel et le risque fœtal"", ""option_c1"": ""Discuter avec le couple de la poursuite ou non de la grossesse"", ""option_d1"": ""Solliciter un avis auprès du centre de référence sur les agents tératogènes (CRAT)"", ""correct_option1"": ""a"", ""question2"": ""Quelle est la deuxième étape à suivre lors de la consultation d'une patiente prenant un traitement et désirant une grossesse?"", ""option_a2"": ""Consigner les circonstances de la prise médicamenteuse : durée, quantité et indication"", ""option_b2"": ""Adapter le traitement lors d'une consultation préconceptionnelle avec le traitement le mieux connu pour une grossesse"", ""option_c2"": ""Évaluer le bénéfice maternel et le risque fœtal"", ""option_d2"": ""Solliciter un avis auprès du centre de référence sur les agents tératogènes (CRAT)"", ""correct_option2"": ""b""}"
"{""question1"": ""Quel est le principal risque associé à la prise d'isotrétinoïne pendant la grossesse?"", ""option_a1"": ""Anomalies cardiaques"", ""option_b1"": ""Malformations faciales"", ""option_c1"": ""Retard de croissance intra-utérin"", ""option_d1"": ""Hypertension artérielle"", ""correct_option1"": ""b"", ""question2"": ""Quel est le principal effet indésirable de la warfarine pendant la grossesse?"", ""option_a2"": ""Anomalies du système nerveux central"", ""option_b2"": ""Malformations cardiaques"", ""option_c2"": ""Hémorragies intra-utérines"", ""option_d2"": ""Retard de croissance intra-utérin"", ""correct_option2"": ""c""}"
"{""question1"": ""Quel médicament est connu pour causer des malformations du SNC, oreille externe, et cœur chez le fœtus?"", ""option_a1"": ""Isotrétinoïne"", ""option_b1"": ""Lithium"", ""option_c1"": ""Warfarine"", ""option_d1"": ""Valproate de sodium"", ""correct_option1"": ""c"", ""question2"": ""Quel est le risque de malformation de l'oreille externe et de fente labiopalatine associé à l'utilisation de Mycophénolate (Cellcept®) pendant la grossesse?"", ""option_a2"": ""Craniosténose et dysmorphie faciale"", ""option_b2"": ""Aplasie du cuir chevelu et atrésie des choanes"", ""option_c2"": ""Fente narinaire et micrognathie"", ""option_d2"": ""Malformations faciales et cardiopathies congénitales"", ""correct_option2"": ""b""}"
"{""question1"": ""Quel vaccin est recommandé chez la femme enceinte, notamment chez les patientes à risque (diabétique, obèse)?"", ""option_a1"": ""Vaccin contre la grippe"", ""option_b1"": ""Vaccin contre la rougeole"", ""option_c1"": ""Vaccin contre la varicelle"", ""option_d1"": ""Vaccin contre la coqueluche"", ""correct_option1"": ""a"", ""question2"": ""Quels vaccins sont autorisés quel que soit le terme de la grossesse?"", ""option_a2"": ""Vaccin contre la grippe et vaccin contre la rougeole"", ""option_b2"": ""Vaccin contre la grippe et vaccin contre la varicelle"", ""option_c2"": ""Vaccin contre la grippe et vaccin contre la coqueluche"", ""option_d2"": ""Vaccin contre la grippe et vaccin contre la rubéole"", ""correct_option2"": ""c""}"
"{""question1"": ""Quel facteur n'influence pas l'effet du tabagisme maternel sur le fœtus?"", ""option_a1"": ""Sociodémographique"", ""option_b1"": ""Épidémiologique"", ""option_c1"": ""Génétique"", ""option_d1"": ""Température ambiante"", ""correct_option1"": ""d"", ""question2"": ""Quel est l'effet du tabagisme maternel sur le poids de naissance des nouveau-nés selon les trimestres de grossesse?"", ""option_a2"": ""Le poids de naissance est plus faible au 1<sup>er</sup> trimestre"", ""option_b2"": ""Le poids de naissance est plus faible au 2<sup>e</sup> trimestre"", ""option_c2"": ""Le poids de naissance est plus faible au 3<sup>e</sup> trimestre"", ""option_d2"": ""Le poids de naissance n'est pas affecté par le tabagisme maternel"", ""correct_option2"": ""c""}"
"{""question1"": ""Quel est le risque relatif (RR) de fausse couche spontanée pour une femme fumeuse au 1er trimestre de grossesse?"", ""option_a1"": ""RR < 1"", ""option_b1"": ""RR = 1"", ""option_c1"": ""RR > 2"", ""option_d1"": ""RR = 0.5"", ""correct_option1"": ""c"", ""question2"": ""Quel est l'impact du tabagisme passif sur le poids et la taille de naissance?"", ""option_a2"": ""Aucun impact"", ""option_b2"": ""Impact positif"", ""option_c2"": ""Impact négatif"", ""option_d2"": ""Impact variable"", ""correct_option2"": ""c""}"
"{""question1"": ""Quel est le principal bénéfice du sevrage tabagique pour une femme enceinte?"", ""option_a1"": ""Réduction du risque de fausse couche"", ""option_b1"": ""Amélioration de la santé cardiovasculaire"", ""option_c1"": ""Diminution des risques pour le fœtus"", ""option_d1"": ""Augmentation de la durée de la grossesse"", ""correct_option1"": ""c"", ""question2"": ""Quel outil est recommandé pour évaluer la dépendance à la nicotine avant la grossesse?"", ""option_a2"": ""Questionnaire de Fagerström"", ""option_b2"": ""Test de CO expiré"", ""option_c2"": ""Échelle de Beck"", ""option_d2"": ""Questionnaire de Spielberger"", ""correct_option2"": ""a""}"
"{""question1"": ""Quelles sont les principales caractéristiques du syndrome d'alcoolisation fœtale (SAF)?"", ""option_a1"": ""Retard de croissance intra-utérin sévère, dysmorphie faciale, malformations cardiaques, retard des acquisitions"", ""option_b1"": ""Retard de croissance intra-utérin modéré, dysmorphie faciale typique, malformations, retard des acquisitions"", ""option_c1"": ""Retard de croissance intra-utérin sévère, dysmorphie faciale, malformations, retard des acquisitions"", ""option_d1"": ""Retard de croissance intra-utérin modéré, dysmorphie faciale typique, malformations cardiaques, retard des acquisitions"", ""correct_option1"": ""b"", ""question2"": ""Quel est le terme utilisé pour décrire les troubles causés par l'alcoolisation fœtale, même en l'absence de retard de croissance ou de dysmorphie?"", ""option_a2"": ""Syndrome d'alcoolisation fœtale (SAF)"", ""option_b2"": ""Ensemble des troubles causés par l'alcoolisation fœtale (ETCAF)"", ""option_c2"": ""Retard mental"", ""option_d2"": ""Troubles comportementaux"", ""correct_option2"": ""b""}"
"{""question1"": ""Quel est le type de consommation d'alcool qui est associé à un risque d'occurrence de syndrome d'alcoolisation fœtale (SAF)?"", ""option_a1"": ""Consommations légères ou modérées (1 à 2 verres/j)"", ""option_b1"": ""Consommations occasionnelles (1 à 2 verres/j)"", ""option_c1"": ""Consommations importantes (au-delà de 2 verres/j)"", ""option_d1"": ""Consommations aiguës ('binge drinking')"", ""correct_option1"": ""c"", ""question2"": ""Quel est l'impact d'une alcoolisation aiguë (≥ 5 verres) en cours de grossesse sur les troubles cognitifs?"", ""option_a2"": ""Aucun impact"", ""option_b2"": ""Impact uniquement en début de grossesse"", ""option_c2"": ""Impact uniquement aux 2e et 3e trimestres"", ""option_d2"": ""Impact à tout moment de la grossesse"", ""correct_option2"": ""c""}"
"{""question1"": ""Quelles sont les situations cliniques où l'interrogatoire doit être intensifié pour dépister l'alcoolisation maternelle?"", ""option_a1"": ""Antécédent de SAF/syndrome malformatif dans la progéniture"", ""option_b1"": ""Contexte de toxicomanie"", ""option_c1"": ""Contexte de violences conjugales, d'abus sexuels"", ""option_d1"": ""Toutes les réponses ci-dessus"", ""correct_option1"": ""d"", ""question2"": ""Quel autoquestionnaire est recommandé pour dépister l'alcoolisation maternelle avec une meilleure sensibilité que l'interrogatoire?"", ""option_a2"": ""T-ACE"", ""option_b2"": ""AUDIT"", ""option_c2"": ""CAGE"", ""option_d2"": ""MIDAS"", ""correct_option2"": ""a""}"
"{""question1"": ""Quels sont les principaux effets du cannabis sur le fœtus?"", ""option_a1"": ""Retard de croissance intra-utérin et prématurité"", ""option_b1"": ""Syndrome de sevrage néonatal modéré et troubles de l'attention"", ""option_c1"": ""Fausses couches spontanées et hypertension artérielle"", ""option_d1"": ""Rupture prématurée des membranes et hématome rétroplacentaire"", ""correct_option1"": ""a"", ""question2"": ""Quels sont les complications maternelles associées à la consommation de cocaïne pendant la grossesse?"", ""option_a2"": ""Fausses couches spontanées et prématurité"", ""option_b2"": ""Retard de croissance intra-utérin et syndrome d'imprégnation néonatal"", ""option_c2"": ""Hypertension artérielle et vasoconstriction intense"", ""option_d2"": ""Syndrome de sevrage néonatal et affections gastro-intestinales néonatales sévères"", ""correct_option2"": ""c""}"
"{""question1"": ""Quels éléments doivent être décelés pour repérer les conduites addictives chez une femme enceinte?"", ""option_a1"": ""L'histoire de vie de la mère"", ""option_b1"": ""L'histoire du couple parental"", ""option_c1"": ""Le mode de vie maternel"", ""option_d1"": ""La santé maternelle"", ""correct_option1"": ""c"", ""question2"": ""Quel type de conduites addictives peut être observé chez des femmes bien insérées dans des milieux socioprofessionnels élevés?"", ""option_a2"": ""Consommation de tabac"", ""option_b2"": ""Consommation d'alcool"", ""option_c2"": ""Consommation de médicaments opioïdes"", ""option_d2"": ""Consommation de cannabis"", ""correct_option2"": ""c""}"
"{""question1"": ""Quels sont les traitements de substitution aux opiacés utilisables pendant la grossesse?"", ""option_a1"": ""Méthadone et buprénorphine"", ""option_b1"": ""Méthadone et naloxone"", ""option_c1"": ""Buprénorphine et naloxone"", ""option_d1"": ""Méthadone et oxazépam"", ""correct_option1"": ""a"", ""question2"": ""Quel est le traitement de substitution aux opiacés recommandé pendant le temps de la grossesse et de l'allaitement, en attendant l'AMM de la Suboxone®?"", ""option_a2"": ""Méthadone"", ""option_b2"": ""Buprénorphine"", ""option_c2"": ""Subutex®"", ""option_d2"": ""Suboxone®"", ""correct_option2"": ""c""}"
"{""question1"": ""Quel pourcentage d'enfants nés de mères ayant consommé des opiacés ou des traitements de substitution aux opiacés pendant la grossesse présente un syndrome de sevrage néonatal (SSNN)?"", ""option_a1"": ""10%"", ""option_b1"": ""30%"", ""option_c1"": ""60%"", ""option_d1"": ""90%"", ""correct_option1"": ""c"", ""question2"": ""Quel facteur peut influencer la sévérité et la durée du syndrome de sevrage néonatal (SSNN) après exposition in utero aux opiacés?"", ""option_a2"": ""La posologie du traitement de substitution aux opiacés"", ""option_b2"": ""La prise de benzodiazépines pendant la grossesse"", ""option_c2"": ""La durée de la grossesse"", ""option_d2"": ""L'âge de la mère"", ""correct_option2"": ""b""}"
"{""question1"": ""Quelles sont les conséquences à long terme des conduites addictives pendant la grossesse?"", ""option_a1"": ""Seulement l'environnement familial"", ""option_b1"": ""Seulement l'exposition in utero à l'alcool"", ""option_c1"": ""L'environnement familial et l'exposition in utero à l'alcool"", ""option_d1"": ""L'environnement familial, l'exposition in utero à l'alcool et les séquelles d'une prématurité"", ""correct_option1"": ""d"", ""question2"": ""Quels sont les deux points essentiels pour l'accompagnement des futures mamans et de leur nouveau-né?"", ""option_a2"": ""L'importance d'un environnement de professionnels bienveillants et la nécessité d'un travail multidisciplinaire"", ""option_b2"": ""L'importance d'un environnement de professionnels bienveillants et la nécessité d'un travail isolé"", ""option_c2"": ""La nécessité d'un travail multidisciplinaire et la nécessité d'un travail isolé"", ""option_d2"": ""L'importance d'un environnement de professionnels bienveillants et la nécessité d'un travail multidisciplinaire"", ""correct_option2"": ""a""}"
"{""question1"": ""Quel est le seuil d'irradiation au-dessus duquel la mort cellulaire peut survenir chez le fœtus?"", ""option_a1"": ""50 mGy"", ""option_b1"": ""100 mGy"", ""option_c1"": ""200 mGy"", ""option_d1"": ""500 mGy"", ""correct_option1"": ""c"", ""question2"": ""Quel est l'effet principal des lésions de l'ADN causées par l'irradiation fœtale?"", ""option_a2"": ""Diminution du QI"", ""option_b2"": ""Microcéphalie"", ""option_c2"": ""Augmentation du risque de leucémie ou de cancer"", ""option_d2"": ""RCIU"", ""correct_option2"": ""c""}"
"{""question1"": ""Quelle est la meilleure attitude à adopter lors d'un examen de radiodiagnostic chez une femme enceinte dont l'utérus est en dehors du faisceau de rayonnement?"", ""option_a1"": ""Rassurer la patiente sans aucune mesure supplémentaire"", ""option_b1"": ""Placer un tablier de plomb sur l'abdomen de la patiente"", ""option_c1"": ""Remplacer l'examen par une échographie"", ""option_d1"": ""Demander l'avis d'un service compétent pour le calcul de la dose-gonades"", ""correct_option1"": ""b"", ""question2"": ""Quelle est la conduite à tenir en cas de grossesse en cours lors d'un examen de radiodiagnostic avec un produit de contraste?"", ""option_a2"": ""Rassurer la patiente sans aucune mesure supplémentaire"", ""option_b2"": ""Placer un tablier de plomb sur l'abdomen de la patiente"", ""option_c2"": ""Remplacer l'examen par une échographie"", ""option_d2"": ""Demander l'avis d'un service compétent pour le calcul de la dose-gonades"", ""correct_option2"": ""d""}"
"{""question1"": ""Quels sont les critères de risque d'infection bactérienne néonatale précoce (INBP) chez le nouveau-né?"", ""option_a1"": ""Fièvre maternelle < 38.0°C en per-partum"", ""option_b1"": ""Antécédent d'infection néonatale à SGB"", ""option_c1"": ""Rupture des membranes < 12h"", ""option_d1"": ""Prématurité spontanée et inexpliquée ≥ 37 SA"", ""correct_option1"": ""b"", ""question2"": ""Quels sont les signes généraux d'infection bactérienne néonatale précoce (INBP) chez le nouveau-né?"", ""option_a2"": ""Hypertension artérielle"", ""option_b2"": ""Fièvre (température ≥ 38.0°C) ou hypothermie (température < 36.0°C)"", ""option_c2"": ""Augmentation du temps de recoloration cutanée"", ""option_d2"": ""Tachypnée (FR < 60/min)"", ""correct_option2"": ""b""}"
"{""question1"": ""Quels sont les signes de lutte respiratoire chez un nouveau-né en détresse respiratoire?"", ""option_a1"": ""Polypnée"", ""option_b1"": ""Battement des ailes du nez"", ""option_c1"": ""Saturation en oxygène basse"", ""option_d1"": ""Cyanose"", ""correct_option1"": ""b"", ""question2"": ""Quel est le score utilisé pour évaluer l'intensité de la détresse respiratoire chez un nouveau-né?"", ""option_a2"": ""Score de Silverman"", ""option_b2"": ""Score de Apgar"", ""option_c2"": ""Score de Glasgow"", ""option_d2"": ""Score de Finnegan"", ""correct_option2"": ""a""}"
"{""question1"": ""Quelle est la définition du petit poids pour l'âge gestationnel (PAG)?"", ""option_a1"": ""Poids inférieur au 10e percentile, associé à des arguments en faveur d'un défaut de croissance pathologique"", ""option_b1"": ""Poids inférieur au 3e percentile, isolé"", ""option_c1"": ""Poids supérieur au 90e percentile, isolé"", ""option_d1"": ""Poids inférieur au 10e percentile, isolé"", ""correct_option1"": ""d"", ""question2"": ""Quels sont les facteurs de risque vasculaires du RCIU?"", ""option_a2"": ""HTA, pré-éclampsie, pathologie maternelle chronique, antécédent de RCIU vasculaire, oligoamnios, Doppler utérin ou ombilical anormal"", ""option_b2"": ""Tabagisme, alcoolisme, toxicomanie, faible niveau socio-économique"", ""option_c2"": ""Anomalies placentaires, insertion vélamenteuse du cordon, malformations utérines"", ""option_d2"": ""Dénutrition, faible prise de poids pendant la grossesse, âge maternel < 20 ans ou > 35 ans"", ""correct_option2"": ""a""}"
"{""question1"": ""Quelle est la définition de la prématurité selon le texte?"", ""option_a1"": ""Naissance avant 37 semaines d'aménorrhée avec un poids inférieur à 500 g"", ""option_b1"": ""Naissance avant 37 semaines d'aménorrhée avec un poids au moins égal à 500 g"", ""option_c1"": ""Naissance après 37 semaines d'aménorrhée avec un poids inférieur à 500 g"", ""option_d1"": ""Naissance après 37 semaines d'aménorrhée avec un poids au moins égal à 500 g"", ""correct_option1"": ""b"", ""question2"": ""Quels sont les facteurs de risque de prématurité spontanée mentionnés dans le texte?"", ""option_a2"": ""Tabac, alcool, drogue, stress, anxiété, dépression, emploi station debout prolongée, antécédent d’accouchement prématuré et fausse couche tardive, intervalle court entre deux dernières grossesses, FIV"", ""option_b2"": ""Tabac, alcool, drogue, stress, anxiété, dépression, emploi station debout prolongée, antécédent d’accouchement prématuré et fausse couche tardive, intervalle court entre deux dernières grossesses, FIV, malformations utérines, infection amnio-choriale, incompétence cervico-isthmique, conisation, anomalie placentaires, métrorragies"", ""option_c2"": ""Tabac, alcool, drogue, stress, anxiété, dépression, emploi station debout prolongée, antécédent d’accouchement prématuré et fausse couche tardive, intervalle court entre deux dernières grossesses, FIV, grossesses multiples, hydramnios, placenta praevia, pathologies vasculaires gravidiques"", ""option_d2"": ""Tabac, alcool, drogue, stress, anxiété, dépression, emploi station debout prolongée, antécédent d’accouchement prématuré et fausse couche tardive, intervalle court entre deux dernières grossesses, FIV, malformations utérines, infection amnio-choriale, incompétence cervico-isthmique, conisation, anomalie placentaires, métrorragies, grossesses multiples, hydramnios, placenta praevia, pathologies vasculaires gravidiques"", ""correct_option2"": ""a""}"
"{""question1"": ""Quel est le score d'Apgar utilisé pour évaluer l'adaptation à la vie extra-utérine du nouveau-né?"", ""option_a1"": ""Score de Glasgow"", ""option_b1"": ""Score de Brazelton"", ""option_c1"": ""Score d'Apgar"", ""option_d1"": ""Score de Cimino"", ""correct_option1"": ""c"", ""question2"": ""À quel moment doit être effectué le deuxième examen clinique complet du nouveau-né?"", ""option_a2"": ""À la naissance"", ""option_b2"": ""Au cours du séjour en maternité"", ""option_c2"": ""Avant le 8ème jour de vie"", ""option_d2"": ""À l'âge de 1 mois"", ""correct_option2"": ""c""}"
"{""question1"": ""Quel est le critère principal pour déterminer si une naissance est à terme?"", ""option_a1"": ""L'âge gestationnel mesuré à l'échographie précoce"", ""option_b1"": ""La date des dernières règles"", ""option_c1"": ""La taille du fœtus à la naissance"", ""option_d1"": ""Le poids du fœtus à la naissance"", ""correct_option1"": ""a"", ""question2"": ""Quel est le signe du foulard utilisé pour évaluer le tonus passif d'un nouveau-né?"", ""option_a2"": ""Le nouveau-né retourne en flexion après une extension par l'examinateur"", ""option_b2"": ""Le nouveau-né présente une posture spontanée en quadriflexion"", ""option_c2"": ""Le nouveau-né montre une dorsiflexion du pied entre 0 et 20°"", ""option_d2"": ""Le nouveau-né présente un angle talon-oreille supérieur à 90°"", ""correct_option2"": ""a""}"
"{""question1"": ""Quels sont les soins systématiques à effectuer en salle de naissance pour un nouveau-né à terme?"", ""option_a1"": ""Administration de vitamine K1, pose des bracelets d’identification, examen clinique avec poids, taille et périmètre crânien"", ""option_b1"": ""Clampage et section du cordon, prévention de l’hypothermie, peau à peau avec la mère, mise au sein au cours de la première heure en cas de souhait d’allaitement maternel"", ""option_c1"": ""Manœuvres de réanimation en cas de mauvaise adaptation à la vie extra-utérine, désinfection oculaire par collyre antibiotique, recherche d’une atrésie des choanes"", ""option_d1"": ""Test à la seringue pour éliminer une atrésie de l’œsophage, administration de vitamine K1, pose des bracelets d’identification"", ""correct_option1"": ""b"", ""question2"": ""Quels sont les soins dépendant du contexte à effectuer en salle de naissance pour un nouveau-né à terme?"", ""option_a2"": ""Manœuvres de réanimation en cas de mauvaise adaptation à la vie extra-utérine, désinfection oculaire par collyre antibiotique, recherche d’une atrésie des choanes"", ""option_b2"": ""Clampage et section du cordon, prévention de l’hypothermie, peau à peau avec la mère, mise au sein au cours de la première heure en cas de souhait d’allaitement maternel"", ""option_c2"": ""Administration de vitamine K1, pose des bracelets d’identification, examen clinique avec poids, taille et périmètre crânien"", ""option_d2"": ""Test à la seringue pour éliminer une atrésie de l’œsophage, administration de vitamine K1, pose des bracelets d’identification"", ""correct_option2"": ""a""}"
"{""question1"": ""Quel est le délai recommandé pour réaliser le dépistage néonatal systématique?"", ""option_a1"": ""À la naissance"", ""option_b1"": ""À 24 heures de vie"", ""option_c1"": ""À 48 heures de vie"", ""option_d1"": ""À 72 heures de vie"", ""correct_option1"": ""d"", ""question2"": ""Quelle maladie est dépistée par une élévation du dosage sanguin de la 17-OH-progestérone?"", ""option_a2"": ""Phénylcétonurie"", ""option_b2"": ""Hypothyroïdie congénitale"", ""option_c2"": ""Hyperplasie congénitale des surrénales"", ""option_d2"": ""Mucoviscidose"", ""correct_option2"": ""c""}"
"{""question1"": ""Quels sont les facteurs de risque de luxation congénitale des hanches (LCH) chez le nouveau-né?"", ""option_a1"": ""Présentation en siège quelle que soit la voie d’accouchement"", ""option_b1"": ""Bassin asymétrique congénital"", ""option_c1"": ""Anomalies posturales associées (genu recurvatum, torticolis)"", ""option_d1"": ""Tous les facteurs mentionnés ci-dessus"", ""correct_option1"": ""d"", ""question2"": ""Quel est le dépistage systématique de la surdité chez le nouveau-né en maternité?"", ""option_a2"": ""Otoémissions acoustiques provoquées (OEAP)"", ""option_b2"": ""Audiogramme"", ""option_c2"": ""Potentiels évoqués auditifs"", ""option_d2"": ""Radiographie de bassin"", ""correct_option2"": ""a""}"
"{""question1"": ""Quel est le principal objectif des liens affectifs parents-enfants après la naissance?"", ""option_a1"": ""Promouvoir l'allaitement maternel exclusif"", ""option_b1"": ""Évaluer l'état de santé du nouveau-né"", ""option_c1"": ""Favoriser le peau-à-peau avec la mère"", ""option_d1"": ""Assurer les soins médicaux du nouveau-né"", ""correct_option1"": ""c"", ""question2"": ""Quelle est la durée recommandée pour un allaitement maternel exclusif selon l'OMS?"", ""option_a2"": ""1 mois"", ""option_b2"": ""3 mois"", ""option_c2"": ""6 mois"", ""option_d2"": ""1 an"", ""correct_option2"": ""c""}"
