,id,question,option_a,option_b,option_c,option_d,correct_option
753,OIC-094-01-A,Quelle est la définition des rachialgies?,Douleurs ressenties dans la région rachidienne,Douleurs ressenties dans la région abdominale,Douleurs ressenties dans la région thoracique,Douleurs ressenties dans la région cervicale,a
754,OIC-094-01-A-,Comment classe-t-on une lombalgie qui dure plus de 3 mois?,Lombalgie aiguë,Lombalgie sub-aiguë,Lombalgie chronique,Lombalgie symptomatique,c
755,OIC-094-02-B,Quelle est la prévalence des cervicalgies dans la population générale?,10%,20%,2 à 11%,50%,c
756,OIC-094-02-B-,Quelle est la prévalence des lombalgies communes dans la population générale?,10%,20%,1/4 à 1/3,50%,c
757,OIC-094-03-A-,Quel examen est utilisé pour évaluer la raideur rachidienne globale?,Signe de Lasègue,Indice de Schöber,Signe de Léri,Distance menton-sternum,b
758,OIC-094-04-B,Quel est l'âge typique des patients présentant une rachialgie d'origine discale?,Enfants de moins de 10 ans,Adolescents de 15 à 20 ans,Adultes de 25 à 50 ans,Personnes âgées de plus de 65 ans,c
759,OIC-094-05-B-,Quel facteur de risque est spécifique à la lombalgie et non à la cervicalgie?,Traumatismes ou microtraumatismes répétés,Sédentarité,Obésité,Troubles de la statique rachidienne,c
760,OIC-094-06-A,Quelle imagerie est recommandée en première intention pour une poussée aiguë de lombalgie sans drapeau rouge?,IRM du rachis lombaire,Radiographies du rachis lombaire,TDM du rachis lombaire,Aucune imagerie,d
761,OIC-094-07-A,Quel est le signe d'alarme qui oriente vers une rachialgie secondaire et nécessite des examens complémentaires?,Douleur de type mécanique,"Douleur d’aggravation progressive, présente au repos",Douleur localisée à un seul segment vertébral,Douleur qui s'améliore avec le repos,b
762,OIC-094-07-A-,Quel symptôme neurologique étendu nécessite une IRM rachidienne en urgence?,Déficit dans le contrôle des sphincters vésicaux ou anaux,Atteinte motrice au niveau des jambes,Syndrome de la queue-de-cheval,Tous les réponses ci-dessus,d
763,OIC-094-08-B,Quel est un facteur de risque de passage à la chronicité d’une rachialgie selon les drapeaux jaunes?,"Problèmes émotionnels : anxiété, dépression",Absence de mesures facilitant le retour ou le maintien à l’emploi,Insécurité financière,"Durée de l’arrêt de travail : après de 2 ans d’arrêt de travail, la probabilité d’un retour au travail est de 0%",a
764,OIC-094-08-B-,"Quel est un facteur de pronostic lié à la politique de l’entreprise, au système de soins et d’assurance selon les drapeaux noirs?","Problèmes émotionnels : anxiété, dépression",Absence de mesures facilitant le retour ou le maintien à l’emploi,Insécurité financière,"Durée de l’arrêt de travail : après de 2 ans d’arrêt de travail, la probabilité d’un retour au travail est de 0%",b
765,OIC-094-09-A,Quelle est la principale étiologie tumorale d'une rachialgie secondaire?,Métastases,Cancer primitif,Spondylodiscite,Spondylarthrite ankylosante,a
766,OIC-094-09-A-,Quelle est la principale étiologie infectieuse d'une rachialgie secondaire?,Métastases,Cancer primitif,Spondylodiscite,Spondylarthrite ankylosante,c
767,OIC-094-10-B,Quelle est l'étiologie d'une rachialgie secondaire liée à une tumeur intrarachidienne ou de la fosse postérieure?,Chondrocalcinose,Polyarthrite rhumatoïde,Tumeur intrarachidienne ou de la fosse postérieure,Douleurs référées d'origine ORL ou cervicale antérieure,c
768,OIC-094-10-B-,Quelle est l'étiologie d'une rachialgie secondaire liée à des douleurs référées d'origine ORL ou cervicale antérieure?,Chondrocalcinose,Polyarthrite rhumatoïde,Douleurs référées d'origine ORL ou cervicale antérieure,Tumeur intrarachidienne ou de la fosse postérieure,c
769,OIC-094-11-B,Quelle est la principale cause sociale de la rachialgie complexe?,Anxiété,Dépression,Arrêts de travail prolongés,Troubles du sommeil,c
770,OIC-094-11-B-,Quelle est la principale cause physique globale de la rachialgie complexe?,Anxiété,Dépression,Sédentarité,Troubles du sommeil,c
771,OIC-094-12-A,Quel est le principal principe de prise en charge d'une poussée aiguë de lombalgie selon le contenu éducatif?,Arrêt de travail prolongé,Kinésithérapie immédiate,Éducation thérapeutique,Immobilisation par collier cervical,c
772,OIC-094-12-A-,Quel est le traitement recommandé pour une lombalgie chronique commune selon le contenu éducatif?,Kinésithérapie immédiate,Arrêt de travail prolongé,Éducation thérapeutique,Immobilisation par collier cervical,c
773,OIC-094-13-B,Quel est le traitement recommandé pour une poussée aiguë de lombalgie selon les grands principes?,Arrêt de travail prolongé,Kinésithérapie immédiate,Rester physiquement actif en adaptant les activités à la douleur,Utilisation de myorelaxants,c
774,OIC-094-13-B-,"Dans le traitement de la lombalgie chronique commune, quel est le premier traitement recommandé selon les grands principes?",Kinésithérapie immédiate,Arrêt de travail prolongé,Éducation thérapeutique et maintien des activités physiques,Utilisation de corticoïdes,c
775,OIC-094-14-A,Quelle est la cause la plus fréquente de douleurs lombaires référées d'origine abdomino-pelvienne?,Anévrisme de l'aorte abdominale,Lithiase urinaire,Pancréatite chronique,Endométriose,b
776,OIC-094-15-B,Quelle est la localisation principale de la douleur dans une sacralgie?,Face antérieure du bassin,Face postérieure du sacrum,Face latérale du bassin,Face antérieure du sacrum,b
777,OIC-094-15-B-,Quel examen radiographique est recommandé pour rechercher une arthrose lombo-sacrée ou sacro-iliaque?,Scanner du bassin,Cliché de de Sèze,Scintigraphie osseuse,IRM du bassin,b
778,OIC-094-16-B,Quelle est la localisation principale de la douleur dans une coccygodynie?,Douleur irradiant vers les jambes,Douleur localisée à l'aire coccygienne,Douleur diffuse dans le dos,Douleur dans le bas du ventre,b
779,OIC-094-16-B-,Quel est le facteur déclenchant le plus probable d'une coccygodynie?,Traumatisme avec un délai de 1 mois,Traumatisme avec un délai de 3 mois,Traumatisme avec un délai très court,Obésité sans traumatisme,c
780,OIC-099-01-B,Quelle est la prévalence mondiale des céphalées chez les adultes au cours des douze mois précédents?,10-20%,30-40%,50-75%,80-90%,c
781,OIC-099-02-B,Quelle est la principale caractéristique de la migraine selon le texte?,Une pathologie neurovasculaire liée à des altérations neuronales et vasculaires,Une maladie uniquement héréditaire,Une pathologie uniquement liée à des facteurs environnementaux,Une maladie qui ne concerne que les personnes âgées,a
782,OIC-099-02-B-,Quelle est la variété de migraine la plus fréquente?,Migraine avec aura,Migraine sans aura,Migraine avec aura et sans aura,Migraine avec aura et céphalée,b
783,OIC-099-03-A,Quelle est la première étape de l'interrogatoire pour préciser le type de céphalée primaire?,Laisser le patient s'exprimer,Caractériser la céphalée,Identifier les signes accompagnateurs,Resituer le contexte du patient,a
784,OIC-099-03-A-,Quelle est la durée minimale des céphalées pour poser un diagnostic de céphalée primaire?,1 mois,2 mois,3 mois,6 mois,c
785,OIC-099-04-A,Quelle est la durée typique d'une crise de migraine sans aura (MSA)?,Moins de 1 heure,4 à 72 heures,Plus de 72 heures,1 à 2 jours,b
786,OIC-099-04-A-,Quel est un symptôme caractéristique de la migraine avec aura?,Céphalée bilatérale,Troubles visuels progressifs,Nausées et vomissements,Céphalée de type pulsatile,b
787,OIC-099-05-A,Quelle est la durée typique d'une crise d'algie vasculaire de la face (AVF) sans traitement?,1 à 2 heures,15 à 180 minutes,3 à 4 heures,5 à 6 heures,b
788,OIC-099-05-A-,Quel pourcentage des patients souffrant d'AVF présente des crises par périodes de quelques semaines à quelques mois?,10%,20%,90%,100%,c
789,OIC-099-06-A,Quelle est la durée typique d'une crise de névralgie du trijumeau essentielle?,Quelques minutes,Quelques secondes,Plusieurs heures,Plusieurs jours,b
790,OIC-099-06-A-,Quel est un facteur déclenchant typique de la névralgie du trijumeau essentielle?,Mouvements oculaires,Parole ou mimique,Respiration profonde,Activité physique intense,b
791,OIC-099-07-A,"Quel est le diagnostic principal si un patient présente à la fois des migraines et des céphalées de tension, avec plus de 15 jours de céphalées par mois?",Migraine chronique,Céphalée de tension chronique,Migraine avec aura,Céphalée de tension épisodique,a
792,OIC-099-07-A-,Combien de jours de céphalée de nature migraineuse par mois sont nécessaires pour diagnostiquer une migraine chronique chez un patient ayant déjà des céphalées de tension?,5 jours,8 jours,10 jours,15 jours,b
793,OIC-099-08-A-,Quelle est la caractéristique principale de la migraine à expression faciale?,Crises faciales < 3 heures avec signes dysautonomiques et agitation,"Crises touchant l’œil, le nez, la joue, les dents, à diagnostiquer si les critères ICHD sont satisfaits, durée 4-72h, avec photophobie et nausées",Désordres temporo-mandibulaires idiopathiques,Algie faciale idiopathique,b
794,OIC-099-10-A,Quelle est la principale caractéristique clinique de l'otalgie réflexe?,Douleur directement liée à une otite,Douleur projetée souvent révélatrice d'un cancer ORL,Douleur associée à une céphalée de cause auriculaire,Douleur liée à une pathologie de l'oreille interne,b
795,OIC-099-10-A-,Quelle est la description clinique d'une céphalée de cause auriculaire?,"Céphalée associée à une douleur auriculaire, liée à une pathologie de l'oreille externe ou moyenne",Céphalée liée à une pathologie de l'oreille interne,"Céphalée associée à une douleur auriculaire, liée à une pathologie de l'oreille externe ou moyenne (voir item 150)",Céphalée liée à une pathologie de l'oreille moyenne,c
796,OIC-099-11-B-,"Quel examen est indiqué si l'examen local de la face, des oreilles et de la cavité buccale est normal et la douleur est récente et inhabituelle?",Panoramique dentaire,Examen ORL complet,TDM du massif facial et des sinus,Biopsie de la muqueuse buccale,c
797,OIC-099-12-A-,Quel est le meilleur moyen de prévenir la migraine chronique chez les patients migraineux?,Augmenter la consommation de café,Pratiquer une activité physique régulière,Prendre des opiacés pour les céphalées,Éviter les changements de sommeil,b
798,OIC-099-13-A-,Quel est le rôle de la surconsommation d'antalgiques dans l'apparition d'une migraine chronique?,Elle est toujours la cause principale,Elle est toujours une conséquence,"Elle peut être une conséquence ou une cause, ou les deux",Elle n'a aucun rôle,c
799,OIC-099-14-A,Quel est le traitement de crise recommandé pour une migraine légère en initiation?,Paracétamol,Aspirine,Triptan,AINS,a
800,OIC-099-14-A-,Quel est le traitement de fond recommandé pour la céphalée de tension fréquente ou chronique?,Paracétamol,Aspirine,Amitriptyline,Triptan,c
801,OIC-099-15-B-,Quel est le traitement de première intention pour une migraine chronique?,Propranolol,Topiramate,Métoprolol,Amitriptyline,b
802,OIC-099-16-A,Quel est le facteur de risque indépendant d’infarctus cérébral associé à la migraine avec aura?,Hypertension artérielle,Diabète,Migraine avec aura,Obésité,c
803,OIC-099-16-A-,Quelle est la recommandation avant la prescription d’une contraception orale chez une patiente migraineuse?,Prescrire un oestroprogestatif sans recherche préalable,Rechercher systématiquement une migraine et déterminer son type,Prescrire un progestatif pur sans recherche préalable,Prescrire un contraceptif orale oestroprogestatif sans recherche préalable,b
804,OIC-099-17-B-,Quelle est la caractéristique principale de la névralgie du trijumeau?,Douleur pulsatile,Douleur lancinante,Douleur paroxystique,Douleur frontale,c
805,OIC-100-01-A-,Quel est le signe clinique qui doit faire suspecter une hypertension intracrânienne (HTIC) lors de l'examen physique d'un patient avec céphalée?,Déficit neurologique focal,Hémianopsie bitemporale,Aggravation de la céphalée en position allongée,Paralysie du nerf abducens (VI),c
806,OIC-100-02-A,Quelle est la principale caractéristique d'une céphalée associée à un syndrome méningé?,Céphalée en coup de tonnerre,Céphalée matinale et exagérée par le décubitus,"Céphalée diffuse et intense, résistante aux antalgiques",Céphalée unilatérale et pulsatile,c
807,OIC-100-02-A-,Quel est le premier examen à réaliser en cas de suspicion d'HTIC chez un patient présentant une céphalée et des vomissements?,Scanner cérébral,Ponction lombaire,IRM cérébrale,Électroencéphalogramme,a
808,OIC-100-03-A,Quelle est la principale caractéristique d'une céphalée en coup de tonnerre?,Céphalée maximale en quelques minutes,Céphalée maximale en moins d'une heure,Céphalée maximale en moins d'une minute,Céphalée maximale en moins de 5 minutes,c
809,OIC-100-03-A-,Quelle est la cause la plus fréquente de céphalée brutale?,Hémorragie sous-arachnoïdienne,Syndrome de vasoconstriction cérébrale réversible,Hémorragie intracérébrale,Dissection des artères cervicales,a
810,OIC-100-04-B,Quelle est la durée minimale d'une céphalée chronique?,1 mois,3 mois,6 mois,1 an,b
811,OIC-100-05-A,Quelle est la caractéristique principale de la céphalée dans une méningite infectieuse?,Céphalée typique du syndrome méningé,Céphalée isolée,Céphalée avec confusion et troubles de conscience,Céphalée post-ponction durale,a
812,OIC-100-07-A,Quel est le premier traitement à administrer pour une suspicion de céphalée secondaire?,Paracétamol 1g et néfopam 20 mg,Aspirine et AINS,Métoclopramide 10 mg,Kétoprofène 100 mg,a
813,OIC-100-08-A,Quelle est l'imagerie de première intention devant une céphalée aiguë brutale chez un adulte?,IRM cérébrale,Angioscanner cérébral,Scanner cérébral sans injection,Angioscanner des TSA,c
814,OIC-100-09-A-,Quel type de traitement est prescrit pour soulager chaque crise de céphalée primaire?,Traitement de fond,Traitement de crise,Traitement chirurgical,Traitement de soutien,b
815,OIC-101-01-B,Quelle est la fonction principale du nerf facial?,Innervation des glandes lacrymales et salivaires,Innervation des muscles peauciers de la face et du cou,Innervation de la peau de la conque de l’oreille,Innervation des deux tiers antérieurs de la langue,b
816,OIC-101-01-B-,Quel symptôme n'est pas associé à une anomalie du nerf facial?,Faiblesse musculaire d’une hémiface,Déficit neurologique sensitif et/ou moteur,Paralysie faciale,Hypoesthésie de la peau du cou,d
817,OIC-101-02-A,Quelle est la caractéristique principale d'une paralysie faciale centrale?,Atteinte prédominante du facial inférieur,Atteinte équivalente du facial supérieur et inférieur,Dissociation automatico-volontaire,Absence de dissociation automatico-volontaire,a
818,OIC-101-02-A-,Quel est le signe clinique caractéristique d'une paralysie faciale périphérique?,Effacement du pli nasogénien,Fermeture incomplète de l'œil,Dissociation automatico-volontaire,Hémiplégie,b
819,OIC-101-03-A,Quelle est la principale caractéristique d'une paralysie faciale périphérique (PFP)?,Paralysie des muscles du visage contrôlée par le nerf trijumeau,Paralysie des muscles du visage contrôlée par le nerf facial,Paralysie des muscles du visage contrôlée par le nerf optique,Paralysie des muscles du visage contrôlée par le nerf vague,b
820,OIC-101-03-A-,Quel est le nerf responsable de la motricité faciale?,Nerf trijumeau,Nerf facial,Nerf optique,Nerf vague,b
821,OIC-101-05-A,Quelle est la cause la plus fréquente de paralysie faciale périphérique (PFP)?,Traumatisme crânien,Diabète,Paralysie faciale a frigore,Infection par le VIH,c
822,OIC-101-05-A-,Quelle est une cause infectieuse de paralysie faciale périphérique (PFP)?,Traumatisme crânien,Diabète,Zona du ganglion géniculé,Sclérose en plaques,c
823,OIC-101-06-A,Quel est le mode d'installation typique d'une paralysie faciale a frigore?,Progressivement sur plusieurs jours,D'abord léger puis devenant sévère,D'emblée maximale ou progressant sur quelques heures,Après une exposition au chaud,c
824,OIC-101-06-A-,Quels symptômes associés sont généralement absents en cas de paralysie faciale a frigore?,Douleurs rétro-auriculaires,Hyperacousie,Déficit sensitif et/ou moteur,Sensation d'engourdissement de l'hémi-face,c
825,OIC-101-07-A,Quel est le traitement principal d'une paralysie faciale a frigore?,Antibiotiques,Corticothérapie orale,Antiviraux,Antalgiques,b
826,OIC-101-07-A-,Quelle mesure est essentielle pour prévenir les complications oculaires dans une paralysie faciale a frigore?,Utilisation de lunettes de soleil,Prescription de larmes artificielles,Application de crème hydratante,Utilisation de collyres antibiotiques,b
827,OIC-101-09-B,Quel est le principal symptôme observé dans l'hémispasme facial post-paralytique?,Paralysie complète du côté affecté,Contractions involontaires des muscles du visage,Démangeaisons persistantes,Sensibilité accrue à la lumière,b
828,OIC-101-10-A,Quel est l'examen d'imagerie de choix en cas de paralysie faciale centrale?,Scanner cérébral,IRM cérébrale avec injection de gadolinium,IRM cérébrale sans injection de gadolinium,Scanner cérébral avec injection de contraste,b
829,OIC-101-10-A-,"En cas de paralysie faciale périphérique, quelle est l'indication principale d'une imagerie cérébrale?",Sclérose en plaques,AVC du tronc cérébral,Tumeur en cas d'atteinte d'autres nerfs crâniens,Traumatisme crânien,c
830,OIC-101-11-A,Quelle est la caractéristique principale de la paralysie faciale périphérique (PFP) unilatérale?,Symétrie faciale complète,Assymétrie faciale avec immobilité du territoire supérieur et inférieur,Hyperactivité musculaire faciale,Démangeaisons faciales,b
831,OIC-101-12-A,Quelle est la caractéristique clinique principale de la paralysie faciale périphérique (PFP) due à la varicelle-zona (VZV)?,Présence de vésicules sur la conque de l'oreille,Douleur intense dans la région de l'oreille,Paralysie faciale bilatérale,Présence de vésicules sur le visage,a
832,OIC-101-12-A-,Quel est l'élément clé pour orienter le diagnostic vers une PFP due à la VZV?,Présence de vésicules sur la conque de l'oreille,Présence de vésicules sur le visage,Paralysie faciale bilatérale,Douleur intense dans la région de l'oreille,a
833,OIC-101-13-B,Quel est le principal objectif de l'iconographie clinique d'une tumeur parotidienne compliquée d'une PFP?,Évaluer la fonction auditive,Visualiser l'envahissement parotidien par une tumeur,Mesurer la pression intracrânienne,Évaluer la fonction motrice des membres,b
834,OIC-101-13-B-,Quel type de tumeur est souvent associé à une PFP tumorale?,Tumeur bénigne,Tumeur maligne,Tumeur virale,Tumeur bactérienne,b
835,OIC-101-14-B,Quelle est la fonction principale du nerf facial?,L'innervation motrice des muscles faciaux,L'innervation sensitive de la peau du visage,L'innervation des glandes salivaires,L'innervation des muscles de la langue,a
836,OIC-102-01-B,Quel nerf oculomoteur naît du noyau du trochléaire?,Nerf oculomoteur (III),Nerf trochléaire (IV),Nerf abducens (VI),Faisceau longitudinal médial (FLM),b
837,OIC-102-02-A,Quelle est la caractéristique principale d'une diplopie binoculaire?,Disparaît à l'occlusion de l'un des yeux,Persiste à l'occlusion de l'œil sain,Disparaît à l'occlusion de l'œil atteint,Est présente uniquement dans un œil,a
838,OIC-102-03-B-,Quel test permet de diagnostiquer une paralysie oculomotrice?,Cover test,Examen au verre rouge,Test de Hess-Lancaster,Inspection des reflets cornéens,c
839,OIC-102-04-B,Quel est le mouvement oculaire qui fait se diriger l'œil vers l'extérieur?,Abduction,Adduction,Convergence,Divergence,a
840,OIC-102-04-B-,Quel mouvement oculaire permet la vision de près en dirigeant les deux yeux vers l'intérieur?,Abduction,Adduction,Convergence,Divergence,c
841,OIC-102-05-B,Quelle est la définition de l'esotropie?,Déviation de l’œil vers l’intérieur,Déviation de l’œil vers l’extérieur,Déviation de l’œil vers le haut,Déviation de l’œil vers le bas,a
842,OIC-102-05-B-,Quelle est la définition de l'exotropie?,Déviation de l’œil vers l’intérieur,Déviation de l’œil vers l’extérieur,Déviation de l’œil vers le haut,Déviation de l’œil vers le bas,b
843,OIC-102-06-A,Quelle est la principale caractéristique d'une paralysie complète du III?,Diplopie horizontale,Divergence marquée,Convergence de l'œil atteint,Diplopie verticale et oblique,b
844,OIC-102-06-A-,Quelle est la position compensatrice de la tête dans une paralysie du IV?,Tournée du côté de la paralysie oculomotrice,"Inclinée du côté sain, menton abaissé","Menton relevé, tête droite","Tournée du côté sain, menton relevé",b
845,OIC-102-07-A-,Quel est le résultat de la paralysie du VI droit sur la position de l'œil droit?,L'œil droit est dévié vers le haut et vers l'intérieur,L'œil droit est dévié vers le bas et vers l'extérieur,L'œil droit est dévié vers le bas et vers l'intérieur,L'œil droit est dévié vers le haut et vers l'extérieur,c
846,OIC-102-08-A-,Quel type de diplopie est généralement associé à une paralysie du III?,Diplopie horizontale,Diplopie verticale,Diplopie oblique,Diplopie binoculaire,c
847,OIC-102-09-B,Quelle est la cause principale d'une paralysie du VI sans valeur localisatrice?,Une lésion sur les noyaux ou les trajets des nerfs oculomoteurs,Une compression du VI dans l'angle ponto-cérébelleux,Une paralysie du III,Une paralysie du IV,b
848,OIC-102-10-A-,Quel test est utilisé pour confirmer le diagnostic de myasthénie?,Test à la prostigmine,Test à la dexaméthasone,Test à la cortisone,Test à la vitamine D,a
849,OIC-102-11-A,Quel est le signe clinique qui doit faire suspecter un anévrisme intracrânien dans une paralysie du III aiguë?,Douleurs oculaires,Atteinte oculomotrice partielle avec signes pupillaires,Céphalées sévères,Facteurs de risque vasculaires,b
850,OIC-102-12-B,Quel examen d'imagerie est recommandé en cas de suspicion d'anévrisme intracrânien associé à une diplopie aiguë récente?,Échographie,Angioscanner,Électroencéphalogramme,Biopsie,b
851,OIC-102-12-B-,Quel type de diplopie n'exige pas d'imagerie cérébrale pour son évaluation?,Diplopie binoculaire aiguë récente,Diplopie monoculaire,Diplopie chronique,Diplopie intermittente,b
852,OIC-102-13-B,Quelle est la cause ophtalmologique de diplopie monoculaire liée à une atteinte cornéenne?,Cataracte nucléaire,Iridodialyse traumatique,Taie cornéenne séquelle d'une kératite ou d'un traumatisme,Kératocône,c
853,OIC-102-13-B-,Quelle est la cause ophtalmologique de diplopie monoculaire liée à une atteinte cristallinienne?,Taie cornéenne séquelle d'une kératite ou d'un traumatisme,Kératocône,Cataracte nucléaire,Iridodialyse traumatique,c
854,OIC-102-14-B,Quel est le premier examen à réaliser devant une diplopie récente?,Examen neurologique,Imagerie cérébrale,Biopsie orbitaire,Exploration vasculaire,a
855,OIC-102-14-B-,Quel signe clinique est souvent associé à une diplopie due à une maladie de Basedow?,Ptosis,Exophtalmie,Paralysie du VI,Anisocorie,b
856,OIC-107-01-A,Quel type de mouvement est caractérisé par une oscillation rythmique involontaire de tout ou partie du corps autour de sa position d'équilibre?,Chorée,Tremblement,Dystonie,Myoclonies,b
857,OIC-107-01-A-,"Quel mouvement est décrit comme brusque, aléatoire, anarchique, souvent à type de rotation ou de flexion/extension, non stéréotypé, arythmique, sans finalité, touchant des territoires variés?",Tremblement,Dystonie,Chorée,Myoclonies,c
858,OIC-107-02-A,Quel est le type de tremblement qui est présent au repos et disparaît lors de la contraction musculaire et du sommeil?,Tremblement d'action,Tremblement postural,Tremblement parkinsonien,Tremblement cérébelleux,c
859,OIC-107-02-A-,"Quel est le type de tremblement qui est bilatéral et symétrique, touchant principalement les membres supérieurs et le chef, et qui évolue lentement sur plusieurs années?",Tremblement parkinsonien,Tremblement d'action,Tremblement essentiel,Tremblement cérébelleux,c
860,OIC-107-03-A-,Quel type de mouvement anormal peut être causé par la prise de L-dopa et agonistes dopaminergiques?,Tremblement,Chorée,Dyskinésies de pic de dose,Myoclonies,c
861,OIC-107-04-A,"Quel mouvement anormal est caractérisé par des mouvements involontaires, rapides et saccadés des yeux?",Dystonie,Tremblement,Myoclonie,Nystagmus,d
862,OIC-107-04-A-,Quel mouvement anormal est associé à une rigidité musculaire et à des mouvements involontaires de torsion?,Tremblement,Dystonie,Myoclonie,Nystagmus,b
863,OIC-107-05-B,Quel type de mouvement est le plus caractéristique de la maladie de Huntington?,Dystonie,Chorée,Syndrome parkinsonien,Tremblement,b
864,OIC-107-05-B-,Quel est le principal facteur de transmission de la maladie de Huntington?,Transmission autosomique récessive,Transmission autosomique dominante,Transmission mitochondriale,Transmission sexuelle,b
865,OIC-107-06-A,Quel est le diagnostic positif de la maladie de Gilles de la Tourette?,"Tics moteurs et tics vocaux simples et complexes présents tous les jours, ayant un retentissement sur le fonctionnement du patient et son adaptation socioprofessionnelle, et parfois associés à des comorbidités","Tics moteurs et tics vocaux simples et complexes présents tous les jours, ayant un retentissement sur le fonctionnement du patient et son adaptation socioprofessionnelle, mais sans comorbidités","Tics moteurs et tics vocaux simples et complexes présents tous les jours, ayant un retentissement sur le fonctionnement du patient et son adaptation socioprofessionnelle, et parfois associés à des comorbidités, mais sans automutilation","Tics moteurs et tics vocaux simples et complexes présents tous les jours, ayant un retentissement sur le fonctionnement du patient et son adaptation socioprofessionnelle, et parfois associés à des comorbidités, mais sans autisme",a
866,OIC-107-06-A-,Quel est le diagnostic positif de tic?,"Tics moteurs et tics vocaux simples et complexes présents tous les jours, ayant un retentissement sur le fonctionnement du patient et son adaptation socioprofessionnelle, et parfois associés à des comorbidités","Tics moteurs et tics vocaux simples et complexes présents tous les jours, ayant un retentissement sur le fonctionnement du patient et son adaptation socioprofessionnelle, mais sans comorbidités","Tics moteurs et tics vocaux simples et complexes présents tous les jours, ayant un retentissement sur le fonctionnement du patient et son adaptation socioprofessionnelle, et parfois associés à des comorbidités, mais sans automutilation","Tics moteurs et tics vocaux simples et complexes présents tous les jours, ayant un retentissement sur le fonctionnement du patient et son adaptation socioprofessionnelle, et parfois associés à des comorbidités, mais sans autisme",a
867,OIC-107-07-B,Quel type de dyskinésies est le plus souvent associé à la L-dopa dans la maladie de Parkinson?,Dyskinésies induites par les neuroleptiques,Dyskinésies de pic de dose,Dyskinésies tardives,Akathisie,b
868,OIC-107-07-B-,Quel type de dyskinésies est le plus souvent associé aux antipsychotiques?,Dyskinésies de pic de dose,Dyskinésies induites par la L-dopa,Dyskinésies tardives,Akathisie,c
869,OIC-108-01-B,Quel est le principal mécanisme physiopathologique de la confusion mentale?,Troubles de la mémoire,Troubles de l'attention,Troubles de la perception,Troubles de l'humeur,b
870,OIC-108-01-B-,Quel est un facteur de risque principal de la confusion mentale?,Troubles de la vision,Troubles de l'audition,Consommation d'alcool,Troubles de la mémoire,c
871,OIC-108-02-A,Quelle est la caractéristique principale d'une confusion mentale?,Trouble de la mémoire à long terme,Trouble attentionnel sévère lié à une altération modérée de la vigilance,Trouble de l'humeur,Trouble du langage,b
872,OIC-108-02-A-,Quelle est la différence principale entre une confusion et une démence?,"La confusion est aiguë, la démence est chronique","La confusion est liée à un trouble psychiatrique, la démence n'est pas","La confusion entraîne une perte d'autonomie, la démence ne l'entraîne pas","La confusion est liée à un retard mental, la démence n'est pas",a
873,OIC-108-03-A-,Quelle pathologie neurologique chronique peut émailler l'évolution de la confusion mentale?,Sclérose en plaques,Maladie de Parkinson,Maladie d'Alzheimer,Épilepsie généralisée,c
874,OIC-108-04-A-,"Parmi les options suivantes, quelle est une cause métabolique de confusion mentale?",Hypoglycémie,Insuffisance rénale chronique,Dénutrition/malnutrition,Syndrome de Korsakoff,a
875,OIC-108-05-A,Quel est le premier examen paraclinique à réaliser dans la démarche diagnostique de la confusion mentale?,Scanner cérébral,Ponction lombaire,Hémogramme,ECG,c
876,OIC-108-05-A-,Dans quel cas la ponction lombaire est-elle formellement indiquée dans la confusion mentale?,En cas de fièvre sans point d'appel,En cas de traumatisme crânien récent,En cas de syndrome méningé,En cas de fluctuation de la vigilance,c
877,OIC-108-06-A,Quelle est la première étape de la prise en charge d'un patient confus?,Traitement de la cause,Réhydratation,Évaluation du retentissement à court terme,Retrait des médicaments non indispensables,c
878,OIC-108-07-B,Quelle est la principale caractéristique de la maladie d'Alzheimer en termes de neuropathologie?,Accumulation de lipides dans les neurones,Accumulation de peptide β-amyloïde en dépôts extracellulaires,Accumulation de glucose dans le cerveau,Accumulation de fer dans les plaques séniles,b
879,OIC-108-07-B-,Où sont principalement trouvées les plaques amyloïdes dans la maladie d'Alzheimer?,Dans le cortex visuel primaire,Dans le cortex moteur,Dans les cortex cérébraux associatifs,Dans le tronc cérébral,c
880,OIC-108-08-A,Quelle est la phase de la maladie d'Alzheimer où l'autonomie est encore préservée pour la plupart des activités instrumentales de la vie quotidienne?,Phase prédémentielle ou prodromale,Phase d'état ou de démence (légère à modérée),Phase de démence sévère,Phase terminale,a
881,OIC-108-08-A-,Quelle est la phase de la maladie d'Alzheimer où l'autonomie est significativement altérée pour les activités instrumentales de la vie quotidienne?,Phase prédémentielle ou prodromale,Phase d'état ou de démence (légère à modérée),Phase de démence sévère,Phase terminale,b
882,OIC-108-09-A,Quel est le symptôme le plus fréquemment évoquant le diagnostic de MA?,Trouble de la consolidation en mémoire épisodique,Oubli à mesure,Anosognosie,Trouble de la récupération,b
883,OIC-108-10-A-,"Parmi les causes organiques suivantes, laquelle peut être curable et est un diagnostic différentiel de la MA?",Syphilis,Maladie de Creutzfeldt-Jakob,Hématome sous-dural,Démence frontotemporale,c
884,OIC-108-11-A,Quel professionnel est impliqué dans la rééducation cognitive pour la maladie d'Alzheimer?,Médecin généraliste,Orthophoniste,Psychologue,Kinésithérapeute,b
885,OIC-108-11-A-,Quel type de soutien est proposé aux aidants familiaux de patients atteints de maladie d'Alzheimer?,Formation professionnelle,Plateformes d'accompagnement et de répit,Consultation médicale,Thérapie individuelle,b
