mcq,cop,llm_cop
"-----
Question:
Uronic acid pathway is important for the formation of-
Options:
a) GAG (glycosamine glycans)
b) Glycoproteins
c) Conjugation of bilirubin
d) All of the above
-----
",3,4
"-----
Question:
Hexokinase is ?
Options:
a) Ligase
b) Transferase
c) Oxidoreductase
d) Reductase
-----
",1,2
"-----
Question:
Acidic property to a-carbon of amino acid is due to-
Options:
a) Carboxyl group
b) Amino group
c) Hydrogenatom
d) None
-----
",0,1
"-----
Question:
Nicotinamide is derived from
Options:
a) Histidine
b) Methionine
c) Tryptophan
d) Phenylalanine
-----
",2,1
"-----
Question:
Main transpoer of cholesterol to peripheral tissue is:
Options:
a) HDL
b) LDL
c) IDL
d) VLDL
-----
",1,2
"-----
Question:
Pentose pathway produces -
Options:
a) ATP
b) NADPH
c) ADP
d) AcetylCoA
-----
",1,2
"-----
Question:
Which of the following amino acid contains free sulphydryl group -
Options:
a) Cysteine
b) Methionine
c) Serine
d) Glycine
-----
",0,1
"-----
Question:
3 ATP's are formed in the following steps of kreb's cyclea) Isocitrate dehydrogenaseb) Succinate dehydrogenasec) Succinate thiokinased) Malate dehydrogenase
Options:
a) b
b) ad
c) ac
d) ab
-----
",1,2
"-----
Question:
Hybridoma used in:
Options:
a) In situ hybridization
b) Sequencing DNA
c) Production of monoclonal antibodies
d) Production of continuous cell lines
-----
",2,3
"-----
Question:
A 36 year old male presents with a complaint of passing dark-reddish urine. He states that yesterday he played basketball for 4 hours, which was the first time he had exercised in 4 months. He awoke this morning with sore muscles and discolored urine. Physical examination is unremarkable. The urine is reddish-brown in color; dipstick test for blood is positive, the pH is 5.1, the specific gravity 1.03. Microscopic examination of the urine reveals no red blood cells. What is the most likely etiology for this presentation?
Options:
a) Hemolyzed blood in the urine
b) Ingestion of foods that contained red dye C. Myoglobinuria
c) Myoglobinuria
d) Nephrolithiasis
-----
",2,2
"-----
Question:
During gluconeogenesis, oxaloacetate is transpoed from mitochondria to cytoplasm by:
Options:
a) Malate
b) Pyruvate
c) Glutamate
d) Phosphoenol Pyruvate
-----
",0,1
"-----
Question:
High content of cholesterol is present in:
Options:
a) Coconut oil
b) Egg yolk
c) Hydrogenated fat
d) Ghee (unsaturated)
-----
",1,2
"-----
Question:
True statement about hemoglobin is
Options:
a) Each hemoglobin molecule is made of 4 polypeptides of each subunit
b) Two alpha and two beta subunits having a O2 attached to each subunit
c) Each hemoglobin molecule binds to only one O2 molecule
d) Each hemoglobin has one heme molecule
-----
",0,1
"-----
Question:
Type II hypercholesterolemia is due to
Options:
a) Defect in scavaging function of HDL
b) Defect in LDL receptor
c) Defect in ABCA protein
d) Defect in all above
-----
",1,4
"-----
Question:
Pyruvate can be converted directly into all the following except
Options:
a) Phosphoenol pyruvate
b) Alanine
c) Acetyl CoA
d) Lactate
-----
",0,1
"-----
Question:
All of the following are true about fructose-1-6-bisphosphatase, EXCEPT:-
Options:
a) Key gluconeogenic enzyme
b) Fructose-2,6, bisphosphate is an allosteric activator of this enzyme
c) Catalyses the hydrolysis reaction
d) Requires magnesium for the catalysis
-----
",1,2
"-----
Question:
Aspirin irreversibly inhibits the following enzyme in the formation of eicosanoids:
Options:
a) Lipoxygenase
b) Cyclooxygenase
c) Phospholipase-A2
d) Peroxidase
-----
",1,2
"-----
Question:
Which of the following enzymes is coded by X-chromosome?
Options:
a) alpha-L-Iduronidase
b) Iduronate sulfatase
c) b-Galactosidase
d) Hyaluronidase
-----
",1,2
"-----
Question:
Which of the propeies accounts for ethanol's use in ethylene glycol poisoning?
Options:
a) Competitive inhibitor of NADPH oxidase
b) Competitive inhibitor of alcohol dehydrogenase
c) Competitive inhibitor of aldehyde dehydrogenase
d) Non-competitive inhibitor of aldehyde dehydrogenase
-----
",1,2
"-----
Question:
A 5 year old boy presents with hepatomegaly, hypoglycaemia & ketosis. The diagnosis is
Options:
a) Mucopolysaccharidosis
b) Glycogen storage disorder
c) Lipopolysaccharidosis
d) Diabetes mellitus
-----
",1,2
"-----
Question:
First substrate of Kreb’s cycle is
Options:
a) Pyruvate
b) Glycine
c) Alanine
d) Lipoprotein
-----
",0,1
"-----
Question:
Which of the following is polar amino acid -
Options:
a) Tryptophan
b) Methionine
c) Glutamic acid
d) Isoleucine
-----
",2,3
"-----
Question:
Proteins are sorted by:
Options:
a) Golgi bodies
b) Mitochondria
c) Ribosomes
d) Nuclear membrane
-----
",0,1
"-----
Question:
Which of the following is a lyase ?
Options:
a) Decarboxylase
b) Synthetase
c) Kinase
d) Oxygenase
-----
",0,1
"-----
Question:
In the test given below to estimate blood glucose, which of the following is true:
Options:
a) Glucose is converted to glucuronic acid
b) Glucose oxidase is highly specific for beta anomer of Glucose
c) The terminal Carbon is oxidised.
d) This is an example of Reducometric method
-----
",1,2
"-----
Question:
In DNA polymerization small segment of DNA formation requires?
Options:
a) DNA ligase
b) Helicase
c) DNA polymerase
d) Transaminase
-----
",-1,3
"-----
Question:
Method of chromatography in which molecules that are negatively charged are selectively released from stationary phase into the positively charged molecules in mobile phase is termed as:Affinity chromatography
Options:
a) Affinity chromatography
b) Ion - Exchange chromatography
c) Adsorbtion chromatography
d) Size - Exclusion chromatography
-----
",1,2
"-----
Question:
A patient presents with recurrent kidney stones. The microscopic examination of the urine specimen is shown below. Which of the following is not seen in the urine of this patient?
Options:
a) cysteine
b) lysine
c) Arginine
d) cystine
-----
",0,4
"-----
Question:
Lipids and proteins interact in membrane by: (PGI June 2007)
Options:
a) Hydrophobic interactions
b) Both hydrophobic and covalent interactions
c) Covalent bonds
d) H bonds
-----
",3,1
"-----
Question:
Which of the following enzyme require NAD as a cofactor?
Options:
a) Citrate Synthase
b) Isocitrate Dehydrogenase
c) a-Ketoglutarate dehydrogenase
d) Succinate Thiokinase
-----
",2,3
"-----
Question:
Disorder shown in the Illustration is related to:
Options:
a) Mismatch repair
b) Base excision repair
c) Nucleotide excision repair
d) SOS repair
-----
",2,3
"-----
Question:
Which of the following is high energy phosphate bond (produce ATP on hydrolysis)a) F-6-phosphateb) Creatine phosphatec) Carbamoyl phosphated) Glucose-1 -phosphatee) Glucose-6-phosphate
Options:
a) bc
b) c
c) ac
d) ad
-----
",0,2
"-----
Question:
Nobel prize in 2006 (recently) was given for the discovery of
Options:
a) Lipoxins
b) RNAi
c) mt DNA
d) β-transcription factor
-----
",1,2
"-----
Question:
Oxaloacetate synthesized from which amino acid -
Options:
a) Aspartate
b) Glycine
c) Serine
d) Valine
-----
",0,1
"-----
Question:
39 years old, male Chronic knee pain,Headache, nausea, epigastric pain, blurred vision,Progressed over next 48 h to confusion, slowed speech,Progressive decline in GCS, requiring intubation,Seizure activity.CT brain showed cerebral oedema.Ammonia level: 652 mmol/L (RR, < 50 mmol/L). profound elevation of urine orotic acid, plasma glutamine level high, arginine level low.What is the pattern of inheritance of the disease?
Options:
a) Autosomal dominant
b) Autosomal recessive
c) X-linked disorder
d) None of the above
-----
",2,2
"-----
Question:
Which of the following anticoagulant used in estimating blood glucose prevents glycolysis?
Options:
a) Oxalate
b) Citrate
c) Sodium fluoride
d) Heparin
-----
",2,3
"-----
Question:
Group of alleles that are closely linked together at a genomic locus & inherited together as a cluster is/are:
Options:
a) Idiotype
b) Haplotype
c) Genotype
d) Phenotype
-----
",1,2
"-----
Question:
Which will activate carbomoyl phosphate synthase I?
Options:
a) Alanine
b) N-acetyl glutamate
c) Ornithine
d) None
-----
",-1,2
"-----
Question:
Thiamine is a cofactor for all of the following enzymes except:
Options:
a) Alpha ketoglutarate dehydrogenase
b) Branched-chain keto-acid dehydrogenase
c) Succinate dehydrogenase
d) Pyruvate dehydrogenase.
-----
",2,3
"-----
Question:
Bile salts undergo xenobiotics:
Options:
a) After conjugation with taurine and glycine
b) After conjugation with lysine
c) After conjugation with betaglucuronic acid
d) After conjugation with derived proteins
-----
",2,1
"-----
Question:
Squalene is the intermediate product during synthesis of:
Options:
a) VLDL
b) Cholesterol
c) Tachysterol
d) Lonosterol
-----
",1,2
"-----
Question:
Which of the component of respiratory chain reacts directly with molecular oxygen:
Options:
a) Cyt b
b) CoQ
c) Cyt C
d) Cyt aa3
-----
",3,1
"-----
Question:
The type of enzyme inhibition in which succinate dehydrogenase reaction is inhibited by malonate is an example of:
Options:
a) Noncompetitive
b) Uncompetitive
c) Competitive
d) Allosteric
-----
",2,3
"-----
Question:
Aromatic amino acid is -
Options:
a) Serine
b) Histidine
c) Leucine
d) Tryptophan
-----
",3,4
"-----
Question:
If in a person, Total Cholesterol=300 mg/dL, HDL= 25mg/dL and TG=150mg/dL, find out the value of LDL-
Options:
a) 245
b) 125
c) 95
d) 55
-----
",0,1
"-----
Question:
Zn is present as prosthetic group in this enzyme:
Options:
a) Carbonic anhydrase
b) Carboxy peptidase
c) Lactate dehydrogenase
d) All of these
-----
",3,4
"-----
Question:
The teiary structure of protein is determined by
Options:
a) X-ray Crystallography
b) Spectrophotometry
c) Electrophoresis
d) Chromatography
-----
",0,1
"-----
Question:
A month old male child is brought to the clinic due to feeding difficulties. The parents give history of frequent seizures in the baby. Routine blood investigations revealed elevated levels of very long chain fatty acids (VLCFA) in the blood. The baby is suffering from which of the following condition?
Options:
a) Refsum disease
b) Zellweger syndrome
c) Cerebrohepatorenal syndrome
d) Both 2 & 3
-----
",3,4
"-----
Question:
Site of b-oxidation is ?
Options:
a) Cytosol
b) Mitochondria
c) Lysosome
d) Golgi apparatus
-----
",1,2
"-----
Question:
Hemoglobin is present in :
Options:
a) Hydrophilic pockets
b) Hydrophobic pockets
c) Pyrrole rings
d) Cationic ring
-----
",1,2
"-----
Question:
vit B12 is found maximum in
Options:
a) Animal products
b) Green leafy vegetables
c) Roots and tubers
d) All
-----
",0,1
"-----
Question:
If urine sample darkens on standing, the most likely condition is :
Options:
a) Phenylketonuria
b) Alkaptonuria
c) Maple syrup disease
d) Tyrosinemia
-----
",1,2
"-----
Question:
Fireflies produce light due to:
Options:
a) NADH
b) GTP
c) ATP
d) Phosphocreatinine
-----
",2,3
"-----
Question:
Beta alanine is formed from
Options:
a) Adenosine and thymine
b) Cytosine and Uracil
c) Cytosine alone
d) Adenosine alone
-----
",1,1
"-----
Question:
Co-enzyme used in transamination -
Options:
a) NAD
b) Biotin
c) Pyridoxal phosphate
d) Riboflavin
-----
",2,3
"-----
Question:
Nitric oxide acts by increasing ?
Options:
a) BRCA 1
b) BRCA 2
c) Interleukin
d) cGMP
-----
",-1,4
"-----
Question:
Major end product of beta oxidation of odd chain fatty acids:
Options:
a) Propionyl CoA
b) Succinyl CoA
c) Acetyl CoA
d) Malonyl CoA
-----
",2,1
"-----
Question:
The end product of glycolysis under anaerobic conditions is:
Options:
a) Lactic acid
b) Pyruvic acid
c) Acetoacetic acid
d) Oxaloacetic acid
-----
",0,1
"-----
Question:
A 2-year-old intellectutually disabled child is having blue eyes, blonde hair and fair skin. He also have a peculiar body odour. What is the diagnosis?
Options:
a) MSUD
b) Isovaleric aciduria
c) Phenyl ketonuria
d) Canavan's disease
-----
",2,3
"-----
Question:
Products of complete hydrolysis of cardiolipin are:
Options:
a) 3 glycerol, 4 fatty acids , 2 phosphates
b) 3 glycerol, 4 fatty acids , 1 phosphates
c) 3 glycerol, 3 fatty acids , 2 phosphates
d) 5 glycerol, 4 fatty acids , 2 phosphates
-----
",0,1
"-----
Question:
Chymotrypsinogen is a
Options:
a) Zymogen
b) Carboxypeptidase
c) Transaminase
d) Elastase
-----
",0,1
"-----
Question:
Sites of heme synthesis are all of these except:
Options:
a) RBC
b) Hepatocytes
c) Osteocytes
d) Bone marrow
-----
",0,3
"-----
Question:
Separation of proteins based on size is done by
Options:
a) Affinity chromatography
b) SDS-Polyacrylamide gel electrophoresis
c) Ion exchange chromatography
d) High performance liquid chromatography
-----
",1,2
"-----
Question:
Rate limiting enzyme in cholesterol synthesis is:
Options:
a) HMG -CoA reductase
b) HMG -CoA synthetase
c) HMG CoA lyase
d) Mevalonate synthetase
-----
",0,1
"-----
Question:
The features of genetic coding are all of the following, EXCEPT:
Options:
a) Degeneracy
b) Without punctuation
c) Overlapping of codons
d) Unambiguous
-----
",2,3
"-----
Question:
Salvage pathway of purine nucleotide synthesis is used by all except
Options:
a) Brain
b) Liver
c) RBC
d) Leukocytes
-----
",1,3
"-----
Question:
Thiamine is essential for
Options:
a) Isocitrate dehydrogenase
b) Succinate dehydrogenase
c) Pyruvate dehydrogenase
d) Acetyl CoA synthetase
-----
",2,3
"-----
Question:
Which of the following are Enantiomers -
Options:
a) D-glucose and L-glucose
b) Glucose and galactose
c) Glucose and Mannose
d) d-glucose and 1-glucose
-----
",0,1
"-----
Question:
Stimulates the production of IGF.
Options:
a) LH
b) PRL
c) TSH
d) GH
-----
",3,4
"-----
Question:
In the physiologic system, nitric oxide is known to act through
Options:
a) Cyclic AMP
b) Calcium ions
c) Cyclic GMP
d) Prostacyclins
-----
",2,3
"-----
Question:
Pyruvate dehydrogenase requires all cofactors except
Options:
a) Thiamin
b) Riboflavin
c) Niacin
d) Pyridoxin
-----
",-1,4
"-----
Question:
All of the following are haemoproteins, EXCEPT:
Options:
a) Catalase
b) Tryptophan pyrrolase
c) Cytochrome c
d) Adenylate kinase
-----
",3,4
"-----
Question:
An infant presented to the OPD with a history of vomiting and poor feeding. Musty odor is present in the baby's sweat and urine. Guthrie test was done and it was found to be positive. All are true regarding this disease except:
Options:
a) Phenylacetate positive in urine
b) Tandem mass spectrometry is the gold standard test
c) Phenylalanine hydroxylase enzyme defect
d) mental retardation is absent
-----
",0,4
"-----
Question:
Which of the following statements regarding vitamin A is TRUE?
Options:
a) Vitamin A promotes maintenance of epithelial tissue
b) Vitamin A is necessary for hearing but not for vision
c) Vitamin A is synthesized in skin
d) All vitamin A derivatives are safe to use during pregnancy
-----
",0,1
"-----
Question:
Ideal biologic solvent is
Options:
a) Water
b) Coconut oil
c) Ethyl alcohol
d) Liquified nitrogen
-----
",0,1
"-----
Question:
Which of the following is a strategy used to increase the yield of protein produced in recombinant protein synthesis ?
Options:
a) Promoter induction
b) Genes for protease inhibitors
c) Translation initiation
d) Translation and transcription termination
-----
",1,1
"-----
Question:
VMA is a metabolite of:
Options:
a) Adrenaline
b) Thyroxine
c) Serotonin
d) Growth hormone
-----
",0,1
"-----
Question:
Gluconeogenesis occurs in all except :
Options:
a) Glycerol
b) Amino acid
c) Lactic acid
d) Palmitate
-----
",3,4
"-----
Question:
In the well fed state, major fate of glucose-6-phosphate in tissues is:
Options:
a) Storage as fructose
b) Storage as glyceraldehyde-3-phosphate
c) Enters HMP shunt via ribulose-5-phosphate
d) Storage as glycogen
-----
",3,3
"-----
Question:
One of the following is obtained in the by beta oxidation of odd chain fatty acids:
Options:
a) Acetyl-CoA + Acetyl-CoA
b) Acetyl-CoA + Propionyl-CoA
c) Propionyl CoA + Propionyl-CoA
d) Acetyl-CoA alone
-----
",1,2
"-----
Question:
The base not present in DNA is:
Options:
a) Adenine
b) Uracil
c) Guanine
d) Thymine
-----
",1,2
"-----
Question:
Viscosity of synovial fluid depends upon -
Options:
a) N-acetyl galactosamine
b) N-acetyl glucosamine
c) Glucuronic acid
d) Hyaluronic acid
-----
",3,2
"-----
Question:
GLUT responsible for secretion of insulin from beta cells of pancreas -
Options:
a) 1
b) 2
c) 3
d) 4
-----
",1,2
"-----
Question:
The rate- limiting enzyme in glycolysis is-
Options:
a) a) Phosphofructokinase
b) b) Glucose 6- dehydrogenase
c) c) Glucokinase
d) d) Pyruvate kinase
-----
",0,1
"-----
Question:
In humans, rate limiting step of de novo pyrimidine synthesis is:
Options:
a) Aspaate tanscarbamoylase
b) Carbamoyl phosphate synthetase-II
c) Dihydro orotate dehydrogenase
d) Ornithine tanscarbamoylase
-----
",1,1
"-----
Question:
In a well fed state what is the fate of a major poion of glucose-6-phosphate in the tissue?
Options:
a) Hydrolysis to glucose
b) Conversion to glycogen
c) Conversion to ribulose 5 phosphate
d) Conversion to ribulose 6 phosphate
-----
",1,2
"-----
Question:
In order to keep blood pH at 7.4, the HCO3: H2CO3 ratio should be:
Options:
a) 2:01
b) 5:01
c) 10:01
d) 20:01
-----
",3,2
"-----
Question:
Which of the following factors gives the elastin molecule the ability to stretch and recoil?
Options:
a) Hydroxylation of proline and lysine rich regions
b) Cross-links between lysine residues
c) Elastase activity
d) Triple helix formation
-----
",1,1
"-----
Question:
A child presents with hepatomegaly and bilateral lenticular opacities. Deficiency of which of the following enzymes will not cause such features.
Options:
a) Galactose-1-phosphate uridyl transferase
b) UDP-galactose-4-epimerase
c) Galactosekinase
d) Lactase
-----
",3,4
"-----
Question:
In which form of aminoacid is ammonia transported from skeletal muscle to liver?
Options:
a) Glutamate
b) Glutamine
c) Alanine
d) Glycine
-----
",2,3
"-----
Question:
All the following biochemical roles of the Ascorbic acid EXCEPT
Options:
a) Role of coenzyme in hydroxylation of proline and lysine
b) Deamination of the hydroxyl group containing amino acids
c) Steroid biosynthesis
d) Bile acid synthesis
-----
",1,4
"-----
Question:
Glycogen storage disorder due to muscle phosphorylase deficiency
Options:
a) Mcardle's disease
b) Pompe's disease
c) Andersen's disease
d) Tarui's disease
-----
",0,1
"-----
Question:
Pair of organs involved in cahill cycle?
Options:
a) Liver and muscle
b) liver and kidney
c) liver and brain
d) muscle and kidney
-----
",0,1
"-----
Question:
Micro RNA transcribed by
Options:
a) RNA polymerase I
b) RNA polymerase II
c) RNA polymerase III
d) DNA polymerase
-----
",1,2
"-----
Question:
Northern blot test is used for
Options:
a) DNA analysis
b) RNA analysis
c) Analysis of proteins
d) Enzyme analysis
-----
",1,2
"-----
Question:
Which is not a tumor suppressor gene?
Options:
a) WT-1
b) Rb
c) p53
d) RAS
-----
",3,4
"-----
Question:
Angular cheilosis is frequently associated with deficiency of:
Options:
a) Thiamine
b) Riboflavin
c) Niacin
d) Folic acid
-----
",1,2
"-----
Question:
True about DNA reconstruction technology
Options:
a) Restriction endonucleases are involved
b) DNA ligase is used
c) Acid phosphatase is used
d) Reverse transcriptase needed
-----
",0,1
"-----
Question:
The following types of reaction occur in glycolysis, except
Options:
a) Hydration
b) Isomerisations
c) Phosphoryl transfer
d) Aldol cleavage
-----
",0,4
"-----
Question:
Plasma levels of which of the following are likely to be lower than normal in a case of severe liver disease?
Options:
a) NH3
b) NH4+
c) Urea
d) Alanine
-----
",2,2
"-----
Question:
RNA primer is synthesized by -
Options:
a) Topoisomerase
b) Helicase
c) DNA primase
d) DNA ligase
-----
",2,3
"-----
Question:
Which of the following is an activator of LCAT ?
Options:
a) Apo B100
b) Apo B 48
c) Apo E
d) Apo A1
-----
",3,4
"-----
Question:
Transport of the cholesterol from peripheral tissue to liver is through
Options:
a) HDL
b) LDL
c) VLDL
d) Chylomicrons
-----
",0,1
"-----
Question:
Ligand for peroxisome proliferation activating receptor (PPAR), a group of nuclear hormone receptors that are involved in the regulation of genes related to glucose and lipid
metabolism is
Options:
a) Repaglinide
b) Voglibose
c) Exanatide
d) Rosiglitazone
-----
",3,4
"-----
Question:
All are true about human mitochondrial DNA except
Options:
a) Circular
b) AGA is stop codon
c) Low mutation rate
d) Very few untranslated sequences
-----
",2,2
"-----
Question:
An enzyme-catalyzed reaction was carried out with the initial substrate concentration 1,000 times greater than the Km for that substrate. After 9 minutes, 1% of the substrate had been conveed to the product, and the amount of product was 12 mmol. If, in a separate experiment, one-third as much enzyme and twice as much of the substrate is combined, how long it would to take for the same amount (12 mmol) of product to be formed?
Options:
a) 13.5 mins
b) 27 mins
c) 8 mins
d) 9 mins
-----
",1,1
"-----
Question:
Gluconeogenesis takes place in
Options:
a) Liver
b) RBC
c) Adipocyte
d) Myocyte
-----
",0,1
"-----
Question:
There are more than 300 variants of human hemoglobin gene. Among these only a few are fatal. Hence, the most important factor to be conserved in a protein for its function is the -
Options:
a) Amino acid sequence
b) Ligand binding residues
c) Structure
d) Environment
-----
",1,1
"-----
Question:
In SCID, what type of DNA repair is defective?
Options:
a) Double strand break repair
b) Nucleotide excision repair
c) End Joining Repair
d) Mismatch repair
-----
",2,2
"-----
Question:
Vitamin required for collagen synthesis
Options:
a) Vitamin A
b) Vitamin C
c) Thiamine
d) Folic acid
-----
",1,2
"-----
Question:
Features of genetic code are all, except ?
Options:
a) Ambiguous
b) Non-overlapping
c) Commaless
d) Specific
-----
",0,3
"-----
Question:
What is the inhibitor of Carnitine Palmitoyl Transferase-1 ?
Options:
a) ATP
b) Acetoacetate
c) Succinyl CoA
d) Acyl CoA
-----
",0,2
"-----
Question:
In humans, the genetic code is represented by code of three nucleotides. If one amino acid is coded 1), more than one triplet, then this is known as
Options:
a) Degeneracy
b) Frame-shift mutation
c) Ambiguity
d) Mutation
-----
",0,1
"-----
Question:
Mucopolysaccharide hyaluronic acid is present in
Options:
a) Vitreous humor
b) Cornea
c) Blood vessels
d) Lens
-----
",0,1
"-----
Question:
Protein fragments separation is/are done by:
Options:
a) Ultrafiltration
b) Chromatography
c) Centrifugation
d) All
-----
",3,4
"-----
Question:
Structure of proteins can be detected by all, except:
Options:
a) High pressure liquid chromatography (HPLC)
b) SDS Page
c) NMR spectrometry
d) Crystallography
-----
",0,4
"-----
Question:
Essential pentosuria is due to defect in
Options:
a) HMP pathway
b) Glycolysis
c) Gluconeogenesis
d) Uronic acid pathway
-----
",3,4
"-----
Question:
Cardiomyopathy is/are due to deficinency of:
Options:
a) Selenium
b) Phosphorus
c) Boron
d) Zinc
-----
",0,1
"-----
Question:
A codon in the genetic code consists of:
Options:
a) One molecule of charged-tRNA
b) A Shine-Dalgarno sequence
c) Three consecutive nucleotides
d) Two complementary base pairs
-----
",2,3
"-----
Question:
Collagen in basement membrane -
Options:
a) Type I
b) Type II
c) Type III
d) Type IV
-----
",3,4
"-----
Question:
Phenylbutyrate is used in the treatment of urea cycle disorders, because
Options:
a) It activates deficient enzymes
b) It maintains urine output
c) It acidifies the urine
d) It scavenges nitrogen.
-----
",3,4
"-----
Question:
mRNA codes for which tail?
Options:
a) Poly A
b) Poly U
c) Poly C
d) Poly G
-----
",0,1
"-----
Question:
A 2-year-old boy is brought to clinic because of poor development as well as vomiting, irritability, and a skin rash. The boy's mother also notes that his urine has a strange ""mousy"" odor. Physical examination reveals the child has an eczema-like rash, is hyperreflexive, and has increased muscle tone. He has a surprisingly fair-skinned complexion compared to the rest of his family. What is the most likely diagnosis?
Options:
a) Tay-Sachs disease
b) Mcardle disease
c) Phenylketonuria
d) Pyruvate dehydrogenase deficiency
-----
",2,3
"-----
Question:
Which vitamin is also antioxidant
Options:
a) Vitamin C
b) Vitamin D
c) Vitamin B3
d) Vitamin B2
-----
",0,1
"-----
Question:
Trinucleotide repeat is seen in
Options:
a) Fragile X syndrome
b) Down's syndrome
c) Trisomy 13
d) Turner's syndrome
-----
",0,1
"-----
Question:
In which organelle (s) of hepatocyte, the elongation of long chain fatty acid takes place?
Options:
a) Endoplasmic reticulum (ER)
b) Golgi body
c) Mitochondria
d) Lysosomes
-----
",0,1
"-----
Question:
Fluoride, used in the collection of blood samples for glucose estimation, inhibits the enzyme
Options:
a) Glucokinase
b) Hexokinase
c) Enolase
d) Glucose-6-phosphatase
-----
",2,1
"-----
Question:
Vitamin K is essential for various biochemical reactions. It is required for which of the following reaction:
Options:
a) Hydroxylation
b) Chelation
c) Transamination
d) Carboxylation
-----
",3,4
"-----
Question:
Leukotrienes are produced from ?
Options:
a) Cholesterol
b) Arachidonic acid
c) Stearic acid
d) Palmitic acid
-----
",1,2
"-----
Question:
All of the following proteins are involved in the metabolism of iron, EXCEPT
Options:
a) Transthyretin
b) Ceruloplasmin
c) Ferritin
d) Hepcidin
-----
",0,1
"-----
Question:
Which of the following is most sensitive to radiation
Options:
a) Stem cells
b) Skin
c) Lymphocyte
d) Bone
-----
",0,2
"-----
Question:
The gene expression of which of the following enzymes is not increased by insulin?
Options:
a) Pyruvate Carboxylase
b) Acetyl CoA Carboxylase
c) Phosphofructokinase-1
d) Pyruvate Dehydrogenase
-----
",0,3
"-----
Question:
Which of the following is/are bile acids?
Options:
a) Cholic acid
b) Lithocholic acid
c) Deoxycholic acid
d) All of the above
-----
",3,4
"-----
Question:
The energy for glycogenesis is provided by -
Options:
a) GTP
b) GDP
c) UTP
d) AMP
-----
",2,1
"-----
Question:
Insulin storage in the body requires which ion?
Options:
a) Cu
b) Zn
c) Mo
d) Se
-----
",1,2
"-----
Question:
Which of the following process is involved in conversion of DNA to RNA:
Options:
a) Conjugation
b) Transduction
c) Translocation
d) Transcription
-----
",3,4
"-----
Question:
Carbamoyl phosphate synthase I is used in ?
Options:
a) Purine synthesis
b) Pyrimidine synthesis
c) Urea cycle
d) Uronic acid pathway
-----
",2,3
"-----
Question:
Most commonly recommended method of removing plaque from the interdental area:
Options:
a) Dental floss.
b) Wooden tips
c) Plastic tips.
d) Interdental brushes.
-----
",0,1
"-----
Question:
Which of the following wax is not ﬂowable at  mouth temperature?
Options:
a) Iowa wax
b) Korecta wax No.6
c) Korecta wax No.4
d) Adaptol wax
-----
",1,3
"-----
Question:
The key to occlusion is:
Options:
a) Maxillary permanent first molar
b) Maxillary permanent second molar
c) Maxillary primary first molar
d) Maxillary primary second molar
-----
",0,2
"-----
Question:
Carbamide solution used for bleaching degrades into
Options:
a) 0.3% sodium perborate
b) 30% hydrogen peroxide
c) 3% hydrogen peroxide
d) 30% sodium perborate
-----
",2,1
"-----
Question:
Treatment resins are given for which type of edentulous 
ridges?
Options:
a) Abused ridges
b) Flabby ridges
c) Ridges with large tori on them
d) Ridges with bony resorption
-----
",0,2
"-----
Question:
10 year old child has violaceous papule and pterygium of nails. The diagnosis is –
Options:
a) Psoriasis
b) Pemphigus
c) Pemphigoid
d) Lichen planus
-----
",3,4
"-----
Question:
Best ﬁnish line for posterior metal ceramic crown is:
Options:
a) Chamfer with bevel
b) Heavy chamfer
c) Shoulder
d) Shoulder with bevel
-----
",3,1
"-----
Question:
A complete denture patient presents with angular cheilitis. A review of recent medical examination revealed that vitamin deficiency is not a factor. A possible predisposing factor is _____.
Options:
a) Excessive vertical dimension of occlusion
b) A closed or insufficient vertical dimension of occlusion
c) Improper balance of the occlusion
d) Poor contour of the denture base
-----
",1,2
"-----
Question:
All are vesiculo bullous lesions except –
Options:
a) Dermatitis herpetiformis
b) Scabies
c) Pemphigus
d) Pemphigoid
-----
",1,2
"-----
Question:
The enamel has no capacity of self —repair because
Options:
a) It has only a small percent of organic content
b) Its formative cells are lost once it is completely formed
c) It is essentially a keratin tissue and has no blood vessels
d) It has no direct connection with the active cells of the dental pulp
-----
",1,4
"-----
Question:
Which of the following is not a signiﬁcance of centric relation?
Options:
a) This position is independent of tooth contact or position.
b) Mounting errors can be detected if centric relation is taken as horizontal reference  point.
c) It helps in orienting the maxillary cast to opening axis of articulator.
d) It helps in developing occlusion for complete denture patients.
-----
",2,4
"-----
Question:
Mycosis fungoides, which is not true
Options:
a) Most common cause of cutaneous lymphoma
b) Pautier's Microabscess
c) Indolent course & good prognosis
d) Erythroderma seen & spreads to peripheral circulation
-----
",2,3
"-----
Question:
The midpalatal suture is most likely to open at which of the following ages of expansion?
Options:
a) 18 years old
b) 13 years old
c) 25 years old
d) 55 years old
-----
",1,2
"-----
Question:
Roach clasp arm refers to
Options:
a) Retentive terminal of circumferential clasp
b) Reciprocal arm of circumferential clasp
c) Bar type clasp
d) None of the above
-----
",2,1
"-----
Question:
Lundstorm segmented arch analysis used to measure?
Options:
a) Tooth ratio discrepancy
b) Indirect assessment of dental arch perimeter
c) Analysis of supporting zone
d) Antero posterior arch symmetry
-----
",-1,2
"-----
Question:
Which premolar resembles a canine:
Options:
a) Maxillary first premolar.
b) Mandibular first premolar.
c) Maxillary second premolar.
d) Mandibular second premolar.
-----
",1,1
