id,question,option_a,option_b,option_c,option_d,correct_option
OIC-050-09-B,Quelle est la principale caractéristique clinique des douleurs neuropathiques?,Douleur causée par une lésion ou une maladie du système somatosensoriel,Douleur liée à une activation anormale des nocicepteurs,Douleur spontanée continue avec des sensations anormales,Douleur associée à une hypoesthésie et une hyperalgésie,c
OIC-050-09-B-,Quel pourcentage de patients atteints de cancer déclare souffrir de douleur selon une enquête de l’Inca pour le deuxième plan cancer en 2010?,28%,53%,62%,14%,b
OIC-050-10-A,...,...,...,...,...,a
OIC-050-10-A-,Quelle est la principale caractéristique de la fibromyalgie?,Douleur localisée à un seul endroit,Douleur diffuse touchant au moins 4 régions du corps,Douleur due à une lésion tissulaire,Douleur uniquement abdominale,b
OIC-050-11-B,Quel est le pourcentage d'actes d'anesthésie réalisés en ambulatoire en France?,40%,50%,60%,70%,b
OIC-050-11-B-,Quelle est la mortalité directement imputable à l’anesthésie en France actuellement?,1 décès pour 10 000 anesthésies,1 décès pour 150 000 anesthésies,1 décès pour 200 000 anesthésies,1 décès pour 500 000 anesthésies,c
OIC-050-12-B,Quelle est la durée de validité d'une consultation pré-anesthésique?,1 semaine,1 mois,2 mois,3 mois,b
OIC-050-12-B-,Quel est le principal objectif de la consultation pré-anesthésique?,Évaluer les risques de complications post-opératoires,Adaptation posologique des traitements,Prévention des infections liées aux soins,Choix de l'anesthésie appropriée,d
OIC-050-13-A,Quel type d'anesthésie permet la perte de conscience réversible?,Anesthésie générale,Anesthésie locorégionale,Anesthésie locale,Anesthésie périphérique,a
OIC-050-13-A-,Quel est le mécanisme d'action des curares?,Inhibition de la transmission nerveuse,Augmentation de la pression artérielle,Diminution de la fréquence cardiaque,Augmentation de la température corporelle,a
OIC-050-14-A,Quelle est l'indication principale d'une anesthésie locorégionale?,Opérations chirurgicales sur le thorax,Opérations chirurgicales sur le membre inférieur,Opérations chirurgicales sur le membre supérieur,Opérations chirurgicales sur le visage,b
OIC-050-14-A-,Quel est le mécanisme d'action des anesthésiques locaux lors d'une anesthésie locorégionale?,En augmentant la conductivité des canaux sodiques,En inhibant la transmission des neurotransmetteurs,En bloquant les canaux sodiques voltages dépendants,En modifiant la structure des fibres nerveuses,c
OIC-050-15-A,Quel est l'anesthésique local le plus couramment utilisé pour les procédures chirurgicales courtes?,Lidocaïne,Mépivacaïne,Bupivacaïne,Ropivacaïne,a
OIC-050-15-A-,Quel type de fibres nerveuses transmettent la douleur pendant la première phase du travail?,Fibres Aδ,Fibres C,Fibres Aα,Fibres Aβ,b
OIC-050-16-B,Quelle est la technique principale utilisée pour l'analgésie/anesthésie obstétricale?,Anesthésie générale,Anesthésie locorégionale,Anesthésie péri médullaire,Anesthésie locale,c
OIC-050-16-B-,Quelle est la définition de la chirurgie ambulatoire?,L'ensemble des actes chirurgicaux réalisés dans un hôpital public,"L'ensemble des actes chirurgicaux réalisés dans les conditions techniques de sécurité d’un bloc opératoire, sous anesthésie de mode variable et sans risque majoré pour le patient permettant la sortie du patient le jour même de son admission, sans nuit d’hébergement",L'ensemble des actes chirurgicaux réalisés uniquement en ambulatoire,L'ensemble des actes chirurgicaux réalisés uniquement en hospitalisation complète,b
OIC-050-17-A,Quel groupe de patients est concerné par les soins palliatifs en pédiatrie selon le contenu éducatif?,Enfants atteints d'une maladie chronique,Enfants atteints d'une maladie grave engageant le pronostic vital,Enfants atteints d'une maladie infectieuse,Enfants atteints d'une maladie allergique,b
OIC-050-17-A-,Quel est le sentiment le plus courant chez les parents après un deuil périnatal?,Sentiment de culpabilité,Sentiment d'irréalité,Sentiment de violence,Sentiment d'ambivalence,b
OIC-051-01-A,Quelle est la définition d'une maladie infectieuse transmissible?,Une maladie causée par un agent infectieux et qui ne peut pas se transmettre entre individus.,Une maladie causée par un agent infectieux et qui peut se transmettre entre individus.,Une maladie causée par un agent infectieux mais qui ne peut pas se transmettre à partir d'une source commune.,Une maladie causée par un agent infectieux mais qui ne peut pas se transmettre entre individus ou à partir d'une source commune.,b
OIC-051-01-A-,Quel est l'objectif principal de la surveillance des maladies infectieuses transmissibles?,Décrire une maladie et étudier ses facteurs de risque,Recueillir des données cliniques et microbiologiques,Mettre en place des mesures de prévention et de contrôle,Toutes les réponses ci-dessus,d
OIC-051-02-B,Quelle est l'agence principale en charge de la surveillance des maladies infectieuses en France?,Ministère de l'Intérieur,Ministère de la Santé,Ministère de l'Éducation Nationale,Ministère de la Justice,b
OIC-051-02-B-,Quelle est la définition de la prévalence dans le contexte des maladies infectieuses?,Le nombre de nouveaux cas d’une maladie dans une population pendant une période donnée,Le rapport entre le nombre de personnes atteintes d’une maladie et l’ensemble de la population à un moment donné,Le rapport entre le nombre de décès et la population atteinte d’une maladie,Le nombre moyen de nouveaux cas générés par une personne contagieuse dans une population sans immunité,b
OIC-051-03-A,Quelle est la définition de la sensibilité d'un examen diagnostique?,Proportion de sujets classés malades parmi les sujets réellement malades,Proportion de sujets classés non malades parmi les sujets réellement non malades,Proportion de sujets malades parmi ceux classés malades,Proportion de sujets non malades parmi ceux classés non malades,a
OIC-051-03-A-,Quelle est la première mission de Santé Publique France en matière de maladies infectieuses?,La surveillance et l'observation permanente de l’état de santé de la population française,La veille et la vigilance sanitaire,L'alerte sanitaire,La contribution à la gestion des situations de crise sanitaire,a
OIC-051-04-B,Quel est le principal facteur qui détermine la virulence d'un agent infectieux?,Sa capacité à provoquer une maladie,Son inoculum,Sa résistance aux anti-infectieux,Sa présence dans un réservoir,a
OIC-051-04-B-,Quel est le mode de transmission directe des maladies infectieuses?,Par l'air,Par des gouttelettes,Par contact direct,Par l'environnement,c
OIC-051-05-B,Quel mode de transmission est associé à la transmission horizontale directe d’une personne à une autre?,Transmission par voie aérienne,Transmission par contact direct ou indirect,Transmission par vecteurs vivants,Transmission par hôtes intermédiaires,b
OIC-051-05-B-,Quel est le principal objectif de la déclaration obligatoire des maladies infectieuses?,Protéger la santé des populations,Augmenter le nombre de médecins,Diminuer les coûts de santé,Améliorer les soins aux patients,a
OIC-051-06-A,Quelle est la principale mission des Centres nationaux de référence (CNR) en France?,La gestion des hôpitaux,La surveillance épidémiologique et l'expertise en microbiologie,La formation des médecins,La production de médicaments,b
OIC-051-06-A-,Quelle mesure de prévention vise à contrôler le réservoir d'une maladie infectieuse?,Utilisation d’un préservatif,Eviction scolaire ou d’une collectivité,Assainissement de l’environnement,Immunisation passive,c
OIC-056-01-A,Quelle est la principale raison pour laquelle l'éviction n'est pas recommandée pour certaines maladies comme la varicelle?,La varicelle est une maladie bénigne,La varicelle ne se transmet pas facilement,L'éviction n'est pas efficace contre la varicelle,La fréquentation de la collectivité à la phase aigüe de la maladie n'est pas souhaitable,d
OIC-056-01-A-,Quel est le principal objectif du réseau Sentinelles?,La formation des médecins généralistes,La constitution de grandes bases de données en médecine générale et en pédiatrie,La vente de médicaments,La gestion des hôpitaux,b
OIC-056-02-A,Quel type de prothèse valvulaire nécessite une anticoagulation curative au long cours?,Prothèse mécanique,Prothèse biologique,Prothèse percutanée,Toutes les réponses sont correctes,a
OIC-056-02-A-,Quelle est la principale cause de complication thrombo-embolique chez les porteurs de valves mécaniques?,Présence d’une fibrillation atriale,Prothèse en position mitrale/tricuspide,Prothèse mécanique d’ancienne génération,INR mal équilibré,d
OIC-056-03-A,Quelle est la fréquence recommandée pour le suivi clinique chez le médecin traitant pour les porteurs de prothèses valvulaires?,Mensuellement,Trimestriellement,Annuellement,Semestriellement,b
OIC-056-03-A-,Quel est le risque accru pour les patients porteurs de prothèses valvulaires?,Endocardite infectieuse,Infarctus du myocarde,Hypertension artérielle,Diabète de type 2,a
OIC-056-04-A,Quelle est la cible d’INR pour une prothèse mécanique en position aortique de type Medtronic-Hall® sans facteur de risque?,"2,5","3,0","3,5","4,0",a
OIC-056-04-A-,Quelles sont les principales causes de désinsertion de prothèse valvulaire?,Survenue précoce et survenue à moyen ou long terme,Survenue précoce et survenue à long terme,Survenue précoce et survenue à moyen terme,Survenue précoce et survenue à court terme,a
OIC-056-05-A,Quelle est la définition générale des infections ostéo-articulaires (IOA)?,Infection des tissus synoviaux et des structures péri-articulaires,Multiplication d’un agent infectieux dans le tissu osseux et/ou articulaire,Infection d’un disque intervertébral et des corps vertébraux adjacents,Forme aiguë hématogène d’ostéite,b
OIC-056-05-A-,Quelle est la prévalence globale des infections ostéo articulaires (IOA) en France par an?,50 / 100 000 habitants,70 / 100 000 habitants,100 / 100 000 habitants,150 / 100 000 habitants,b
OIC-056-06-A,Quel est le mécanisme le plus fréquent d'infection ostéo-articulaire chez l'enfant?,Inoculation directe,Contiguïté,Hémoculture positive,Traumatisme,c
OIC-056-06-A-,Quel est le germe le plus fréquemment responsable des infections ostéoarticulaires (IOA) chez l'adulte par voie hématogène?,Streptocoques,Entérobactéries,Staphylococcus aureus,Mycobacterium tuberculosis,c
OIC-056-07-B,Quel est le signe local le plus fréquent chez l'enfant avec une infection ostéoarticulaire aiguë?,Rougeur,Fièvre,Douleur articulaire,Boiterie,c
OIC-056-07-B-,Quel examen est le plus utile pour le diagnostic précoce d'une infection ostéo-articulaire chez l'enfant?,Radiographie conventionnelle,Echographie,Scanner avec injection de produit de contraste,IRM,d
OIC-056-08-B,Quelle est l'indication principale de la ponction articulaire chez l'enfant?,Évaluer la mobilité articulaire,Diagnostiquer une arthrite aiguë avant antibiothérapie,Éliminer les cristaux dans l'épanchement,Évaluer la douleur articulaire,b
OIC-056-08-B-,Quelle est la mesure chirurgicale systématique dans les ostéites chroniques?,Débridement,Lavage,Immobilisation,Rééducation,a
OIC-056-09-B,Quelle est la principale raison de la prise en charge urgente hospitalière pour une infection ostéoarticulaire (IOA) chez l'enfant et l'adulte?,Pour réaliser des examens d'imagerie,Pour limiter le risque de complications,Pour administrer des antibiotiques oraux,Pour effectuer une chirurgie préventive,b
OIC-056-09-B-,Quelle est la localisation la plus fréquente de l'arthrite septique aiguë chez l'enfant et l'adulte?,Mono-articulaire,Poly-articulaire,Rachitique,Spondylitique,a
OIC-070-01-A,Quelle est la complication la plus fréquente d'une arthrite septique aiguë chez l'enfant?,"Sepsis, choc septique",Abcès des parties molles adjacentes,Ostéite de contiguïté,Destruction articulaire avec séquelles fonctionnelles,b
OIC-070-01-A-,Quel est le traitement initial recommandé pour une arthrite septique chez l'adulte avec un S. aureus sensible à la méticilline?,"C1G (céfazoline) ou pénicilline M (oxacilline, cloxacilline) IV + gentamicine",Amoxicilline-acide clavulanique IV + gentamicine,"C1G (céfazoline) ou pénicilline M (oxacilline, cloxacilline) IV + clindamycine",Fluoroquinolone IV + rifampicine,a
OIC-070-02-B,Quelle est la première étape à suivre en cas de suspicion d'infection disco-vertébrale?,Prise en charge urgente hospitalière,Antibiothérapie probabiliste,Imagerie radiologique,Prélèvement microbiologique,a
OIC-070-02-B-,Quel est le site le plus fréquemment affecté par une spondylodiscite?,Cervical,Thoracique,Lombaire,Sacral,c
OIC-070-03-B,Quelles sont les complications neurologiques possibles d'une spondylodiscite?,Syndrome lésionnel,Syndrome sous-lésionnel,Syndrome lésionnel et sous-lésionnel,Aucune complication neurologique,c
OIC-070-03-B-,Quel examen est considéré comme le diagnostic de référence pour la spondylodiscite?,Scanner,IRM,Scintigraphie osseuse,Echographie cardiaque,b
OIC-070-04-B,Quel est le signe clinique le plus fréquent d'une ostéite chronique de l'adulte?,Fièvre persistante,Fistule cutanée,Tuméfaction inflammatoire,Douleur chronique,b
OIC-070-04-B-,Quelle est la cause la plus probable de l'infection de l'orteil représentée dans la photographie?,Infection fongique,Infection bactérienne,Infection virale,Infection parasitaire,b
OIC-070-05-A,Quel est le meilleur examen pour confirmer le diagnostic d'ostéomyélite aiguë chez un enfant dans les premiers jours?,Radiographies simples,Échographie,IRM,Scintigraphie osseuse,c
OIC-070-05-A-,Quelle est la définition d'une bactériémie?,Présence de bactéries dans le sang détectables dans un flacon d'hémocultures,Présence de champignons dans le sang,Présence de virus dans le sang,Présence de parasites dans le sang,a
OIC-070-06-A,Quelle est la fréquence des bactériémies chez les patients hospitalisés?,"0,5%",1%,2%,5%,b
OIC-070-06-A-,Quel est le premier élément à rechercher pour orienter la prise en charge d'un patient avec fièvre et sepsis?,Les résultats des hémocultures,Les données cliniques,L'examen de la peau,L'échographie transoesophagienne,b
OIC-070-07-B,Quel est le principal agent infectieux responsable des bactériémies communautaires chez les adultes?,Streptococcus pneumoniae,Escherichia coli,Staphylococcus aureus,Neisseria meningitidis,b
OIC-070-07-B-,Quel est le principal agent infectieux responsable des fongémies?,Staphylococcus aureus,Candida albicans,Escherichia coli,Pseudomonas aeruginosa,b
OIC-070-08-B,Quel est le pourcentage d'infections liées aux cathéters causées par des staphylocoques?,30%,50 à 60%,70%,90%,b
OIC-070-08-B-,Quel pourcentage de la population générale est porteuse saine de Staphylococcus aureus ?,10%,30%,50%,70%,b
OIC-070-09-A,Quelles sont les exceptions à la règle de prélever les examens microbiologiques avant l'antibiothérapie?,Purpura fulminans et état de choc septique,Méningite bactérienne et purpura fulminans,État de choc septique et méningite bactérienne,Purpura fulminans et méningite bactérienne,a
OIC-070-09-A-,Quelles sont les indications pour réaliser des hémocultures chez un patient?,Fièvre associée à un purpura fébrile,Hypothermie sans signes de défaillance d'organe,Suspicion d'endocardite sans fièvre,Fièvre survenant en cours d'hospitalisation,a
OIC-070-10-B,Quel examen est systématiquement recommandé pour une bactériémie due à Staphylococcus aureus?,Échocardiographie,ECBU,Imagerie abdominale,Radiographie de thorax,a
OIC-070-10-B-,Quelle est la valeur de la procalcitonine qui rend peu probable l'existence d'une bactériémie/fongémie?,"0,1 ng/ml","0,25 ng/ml","0,5 ng/ml",1 ng/ml,b
OIC-073-01-A,Quel est le principe général de la prise en charge thérapeutique probabiliste d’une bactériémie/fongémie?,Choix de l’antimicrobien en fonction de la porte d’entrée suspectée cliniquement,Hospitalisation non indispensable,Antimicrobien par voie orale initialement,Traitement antimicrobien adapté uniquement à l’antibiogramme,a
OIC-073-01-A-,Quel antibiotique est recommandé pour le traitement de la bactériémie causée par un Staphylococcus aureus sensible à la méticilline (SASM)?,Vancomycine,Céfazoline,Pénicilline M,Céfotaxime,c
OIC-073-02-A,Quel est le principal objectif du traitement de la porte d'entrée dans le cas d'une bactériémie?,Réduire le risque de rechute,Augmenter la durée de l'hospitalisation,Diminuer la consommation de médicaments,Améliorer la qualité de vie du patient,a
OIC-073-02-A-,Quelle est la situation où un lavage péritonéal est nécessaire?,Endocardite compliquée d’un choc cardiogénique,Pyélonéphrite aigue bloquée,Urgence abdominale,Fasciite nécrosante,c
OIC-073-03-B,Quelle est la durée de traitement recommandée pour une bactériémie non compliquée à Staphylococcus aureus?,7 jours,10 jours,14 jours,21 jours,c
OIC-073-03-B-,Quel facteur augmente le risque d'infection par un agent résistant chez un patient hospitalisé?,La durée de l'hospitalisation,La présence de matériel implanté,L'âge du patient,Le sexe du patient,b
OIC-073-04-A,Quelle est la durée typique pour obtenir une apyrexie sous traitement bien conduit d'une bactériémie?,1 jour,3-5 jours,7 jours,10 jours,b
OIC-073-04-A-,Quelle est la définition d'une infection urinaire simple chez un adulte?,Infection urinaire chez un patient avec une anomalie anatomique ou fonctionnelle de l'arbre urinaire,Infection urinaire chez un patient sans facteur de risque de complication,Infection urinaire chez un patient avec un diabète,Infection urinaire chez un patient avec une insuffisance rénale,b
OIC-073-05-B,Quelle est la principale bactérie isolée lors d’infections urinaires communautaires chez l’enfant?,Staphylococcus saprophyticus,Proteus mirabilis,Enterococcus faecalis,Escherichia coli,d
OIC-073-05-B-,Quel examen est recommandé pour la cystite simple chez l'adulte?,ECBU,TDM AP non injecté,BU,Echographie,c
OIC-073-06-B,Quel examen d'imagerie est recommandé en première intention pour une pyélonéphrite aiguë simple en cas de premier épisode?,Scanner,IRM,Aucun examen d’imagerie recommandé,Cystographie rétrograde,c
OIC-073-06-B-,Quelle est la principale utilité d'une bandelette urinaire (BU) dans le diagnostic des infections urinaires (IU)?,Confirmer formellement un diagnostic d'IU,Évaluer la gravité de l'IU,Orienter vers un diagnostic d'IU en fonction du contexte clinique,Éliminer définitivement le risque d'IU,c
OIC-073-07-B,Quel est le seuil de bactériurie significative chez la femme pour E. coli et S. saprophyticus?,10^2 UFC/mL,10^3 UFC/mL,10^4 UFC/mL,10^5 UFC/mL,b
OIC-073-07-B-,Quelle est la définition d'une colonisation urinaire?,La présence de symptômes urinaires,La présence d'une bactérie dans les urines sans symptôme,La présence d'une infection urinaire avec symptômes,La présence d'une bactérie dans les urines avec symptômes,b
OIC-073-08-B,Quel est le maître symptôme d'une cystite aiguë?,Pollakiurie,Hématurie,Brûlures mictionnelles,Ténesme vésicale,c
OIC-073-08-B-,Quel est le critère principal pour distinguer une pyélonéphrite simple d'une pyélonéphrite à risque de complication?,Présence de fièvre,Douleur lombaire unilatérale,Signe de gravité clinique,Absence de symptôme du bas appareil urinaire,c
OIC-073-09-B,Quel est le taux de guérison clinique à 1 mois après l'antibiothérapie pour une cystite simple?,20%,58-90%,100%,50%,b
OIC-073-09-B-,Quelle est la durée recommandée du traitement antibiotique pour une pyélonéphrite aiguë simple?,5 jours,7 jours,10 jours,14 jours,b
OIC-074-01-A,Quel est le critère de risque de complication pour une pyélonéphrite aiguë?,Homme,Grossesse,Anomalie de l'appareil urinaire,Tous les choix ci-dessus,d
OIC-074-01-A-,Quel est le critère clinique fondamental pour le diagnostic positif d'une infection urinaire masculine (IUM)?,La présence de douleurs lombaires,La survenue d'une symptomatologie aiguë,La présence de sang dans l'urine,La présence de calculs rénaux,b
OIC-074-02-B,"Quelle est la durée recommandée de traitement pour les infections urinaires masculines en cas d'utilisation de fluroroquinolones, de C3G IV ou de cotrimoxazole?",7 jours,14 jours,21 jours,28 jours,b
OIC-074-02-B-,Quel est le seuil de leucocyturie pour poser le diagnostic de cystite aiguë gravidique?,≥ 10^3 /mL,≥ 10^4 /mL,≥ 10^5 /mL,≥ 10^6 /mL,b
OIC-074-03-A,Quel est le diagnostic principal chez les personnes âgées présentant des symptômes atypiques d'infection urinaire?,Infection urinaire,Syndrome gériatrique,Colonisation urinaire,Trouble cognitif,b
OIC-074-03-A-,Quel est le principal signe clinique qui doit faire évoquer une pyélonéphrite aiguë chez un enfant de moins de 3 mois?,Fièvre isolée,Dysurie,Pollakiurie,Hématurie,a
OIC-074-04-B,Quel est le seuil de leucocyturie pour suspecter une infection urinaire chez un enfant selon la bandelette urinaire?,< 10 000/mL,10 000/mL,> 10 000/mL,> 100 000/mL,c
OIC-074-04-B-,Quel est le traitement initial recommandé pour une cystite chez un enfant de plus de 3 mois sans facteurs de risque ni signes de sévérité?,Cefixime,Cotrimoxazole,Amoxicilline/acide clavulanique,Ceftriaxone,a
OIC-074-05-B,Quel examen est essentiel pour confirmer le caractère infectieux des symptômes d'une patiente suspectée de cystites récidivantes?,Cystographie,Échographie des voies urinaires,ÉCBU (Examen Cytobactériologique des Urines),Scanner,c
OIC-074-05-B-,Quel est le facteur de risque identifié dans la littérature pour les cystites récidivantes?,Fréquence des rapports,1<sup>ière</sup> cystite à -15 ans,Nouveau partenaire,Spermicide,a
OIC-074-06-B,Quel est le facteur favorisant principal des infections urinaires chez l'enfant?,Immaturité avec anomalie de la vidange vésicale,Réservoir bactérien (prépuce chez le jeune garçon),Présence de constipation,Fonctionnement normal de la vessie,a
OIC-074-06-B-,Quel est le principal site d'infection pour la gonococcie chez l'homme?,Urètre,Col et vagin,Pharyngé,Anorectite,a
OIC-074-07-A,Quelle est la principale cause d'IST bactérienne dans les pays industrialisés?,Gonococcie,Chlamydiose,Syphilis,Infection à HPV,b
OIC-074-07-A-,Quelle mesure préventive est recommandée pour les infections sexuellement transmissibles (IST)?,Utilisation de préservatifs,Vaccination contre la grippe,Médication quotidienne,Hygiène personnelle,a
OIC-074-08-A,Quel test est systématiquement proposé aux partenaires d'une personne infectée par une IST?,Test de dépistage du VIH,Test de dépistage du chlamydia,Test de dépistage du papillomavirus humain (HPV),Test de dépistage de la trichomonose,a
OIC-074-08-A-,Quelle est la cause de l'herpès génital?,Virus du papillome humain (HPV),Bactérie Neisseria gonorrhoeae,Virus de l'herpès simplex,Bactérie Treponema pallidum,c
OIC-074-09-A,Quelle est la cause de l'herpès génital?,Le virus de l'herpès simplex (HSV),Le virus du papillome humain (HPV),La bactérie Chlamydia trachomatis,Le virus de la syphilis,a
OIC-074-09-A-,Quelle est la caractéristique principale d'un chancre syphilitique?,Chancre douloureux,Chancre indolore et indurée,Chancre avec des lésions cutanées,Chancre avec des lésions oculaires,b
OIC-074-10-B,Quels sont les symptômes courants de l'urétrite masculine?,Douleurs abdominales et fièvre,"Ecoulement urétral, dysurie, douleurs urétrales, prurit urétral, méatite, voire balanite",Toux et écoulement nasal,Fatigue et maux de tête,b
OIC-074-10-B-,Quelle est la cause la plus fréquente d'urétrite aiguë chez l'homme?,Chlamydiose,Trichomonose,Gonococcie,Infection par Escherichia coli,c
OIC-074-11-A,Quels sont les signes cliniques d'une cervicite chez la femme?,Prurit et dyspareunie,Pesanteur pelvienne et leucorrhée,Vulve œdématiée et dyspareunie,Col inflammatoire et écoulement à l'orifice cervical,b
OIC-074-11-A-,Quels sont les signes cliniques typiques d'une salpingite chez la femme?,"Fièvre, douleurs pelviennes, métrorragies, leucorrhées","Fièvre, douleur pelvienne augmentée, écoulement de l'orifice du col","Douleurs pelviennes, métrorragies, inflammation endocol","Fièvre, douleurs pelviennes, métrorragies, inflammation endocol",a
OIC-074-12-A,Quelle est la cause la plus fréquente d'infections génitales basses chez la femme?,Gonocoque,Chlamydiose,Trichomonose,Candidose,a
OIC-074-12-A-,Quelle est l'infection génitale haute la plus courante chez la femme?,Gonocoque,Chlamydiose,Trichomonose,Mycoplasma genitalium,b
OIC-074-13-A,Quelle est une manifestation extra-génitale de la gonocoque?,Oropharyngite,Syndrome oculo-uréthro-synovial,Septicémie gonococcique,Pharyngite,c
OIC-074-13-A-,Quel examen complémentaire est systématique pour le gonocoque?,PCR,Culture,Sérologie,Examen direct,b
OIC-074-14-A,Quel est le premier pas à suivre pour toute infection sexuellement transmissible (IST)?,Identifier les partenaires contaminés,Proposer un traitement immédiat,Effectuer un test de dépistage systématique,Vacciner contre l'HPV,a
OIC-074-14-A-,Quel est le prélèvement recommandé pour le diagnostic de l'infection haute de la femme?,Prélèvement sanguin,Prélèvement avec pose de speculum,Prélèvement urinaire,Prélèvement buccal,b
OIC-074-15-A,Quel est le traitement initial recommandé pour une infection probabiliste à gonocoque et à chlamydia?,Ceftriaxone 1000 mg IM ou IV et Doxycycline 200 mg PO 7 jours,Azithromycine 1g dose unique et Doxycycline 200 mg PO 7 jours,Ceftriaxone 1000 mg IM ou IV et Azithromycine 1g dose unique,Doxycycline 200 mg PO 7 jours et Azithromycine 1g dose unique,a
OIC-074-15-A-,Quel examen est recommandé pour diagnostiquer les condylomes chez les femmes?,Uroscopie,FCV ou test HPV-HR,Colposcopie-biopsie,Proctoscopie,b
OIC-074-16-A,Quel antibiotique est recommandé pour le traitement de la gonococcie chez un patient allergique aux β-lactamines?,Ceftriaxone,Azithromycine,Gentamicine,Ciprofloxacine,b
OIC-074-16-A-,Quel est le traitement recommandé pour une infection génitale haute non compliquée selon les recommandations de 2018?,Ceftriaxone 1g IV/IM dose unique + Doxycycline 100mg/12h per os 10 jours + Métronidazole 500mg/12h per os 10 jours,Ceftriaxone 1g IV/IM dose unique + Azithromycine 1g per os 1 fois,Doxycycline 100mg/12h per os 14 jours + Métronidazole 500mg/12h per os 14 jours,Ceftriaxone 1g IV/IM dose unique + Doxycycline 100mg/12h per os 7 jours + Métronidazole 500mg/12h per os 7 jours,a
OIC-074-17-A,Quelle est la mesure de prévention la plus efficace pour les IST?,Utilisation de préservatifs,Vaccination contre l'HPV,Identification des partenaires contaminés,Sérologie VIH,a
OIC-074-17-A-,Quel est le signe clinique principal de la syphilis primaire?,"Chancre unique, fond propre, induré",Roséole syphilitique,Syphilides papuleuses,Fébricule,a
OIC-074-18-A,Quelle est la définition de la syphilis latente tardive?,Présence de signes cliniques et sérologie positive,Absence de signes cliniques et sérologie positive,Présence de signes cliniques et sérologie négative,Absence de signes cliniques et sérologie négative,b
OIC-074-18-A-,Quelle est la première éruption syphilis secondaire?,Roséole syphilitique,Syphilides papuleuses,Syphilides palmoplantaires,Syphilides génitales et périnéales,a
OIC-074-19-A,Quel est le stade de la syphilis illustré par la photographie?,Syphilis primaire,Syphilis tertiaire,Syphilis secondaire,Syphilis congénitale,c
OIC-074-19-A-,Quel est le test utilisé pour détecter les anticorps spécifiques à la syphilis?,VDRL,TPHA,ELISA,RPR,b
OIC-074-20-A,Quel est le traitement de première ligne pour la syphilis primaire?,Doxycycline 14 jours,"Benzathine pénicilline G dose unique IM 2,4 millions d’unités",Azithromycine,Ciprofloxacine,b
OIC-074-20-A-,Quel est le traitement recommandé pour la syphilis secondaire précoce chez un patient sans allergie à la pénicilline?,Doxycycline 14 jours,"Benzathine pénicilline G dose unique IM 2,4 millions d’unités",Doxycycline 28 jours,"Benzathine pénicilline G dose unique IM 1,2 millions d’unités",b
OIC-074-21-A,Quelle est la localisation typique des condylomes acuminés?,Sur le visage,Sur les pieds,Sur les fesses,Sur les mains,c
OIC-074-21-A-,Quel est le vaccin recommandé pour prévenir les infections liées au HPV chez les enfants de 11 à 19 ans?,Vaccin nonavalent,Vaccin quadrivalent,Vaccin hexavalent,Vaccin pentavalent,a
OIC-074-22-B,Quel est le protozoaire responsable de la trichomonose?,Trichomonas vaginalis,Sarcoptes scabiei hominis,Phtirius inguinalis,Papillomavirus humain (HPV),a
OIC-074-22-B-,Quel prélèvement est recommandé pour le diagnostic d'une trichomonose chez l'homme?,1er jet urinaire,Écoulement urétral spontané,Auto-écouvillonnage vaginal,Cul-de-sac vaginal postérieur,b
OIC-074-23-B,Quel est le traitement de première intention pour une infection non compliquée à Neisseria gonorrheae chez une femme enceinte?,Ceftriaxone dose unique IM ou IV 1000 mg,Doxycycline 7 jours,Azithromycine dose unique,Ciprofloxacine,c
OIC-074-23-B-,Quelles sont les principales conséquences à long terme des IGH chez la femme?,Ailergies pelviennes inflammatoires,Stérilité tubaire et grossesse extra-utérine,Maladies cardiaques,Diabète de type 2,b
OIC-074-24-A,Quelle est la particularité des infections sexuellement transmissibles (IST) chez la femme ménopausée?,Elles sont plus fréquentes chez les femmes ménopausées,Elles sont moins fréquentes chez les femmes ménopausées,Elles sont identiques à celles des femmes en âge de procréer,Elles sont plus graves chez les femmes ménopausées,c
OIC-074-24-A-,Quel est le nom de la maladie causée par le papillomavirus humain (HPV) qui se manifeste par des condylomes?,Syphilis,Gonococcie,Trichomonose,Condylomate,d
OIC-074-25-B,Quel type d'exanthème est caractérisé par une éruption cutanée avec des intervalles de peau saine?,Exanthème vésiculo-pustuleux,Exanthème érythémateux,Exanthème maculo-papuleux,Exanthème scarlatiniforme,c
OIC-074-25-B-,Quelle est la caractéristique principale du syndrome de choc toxique staphylococcique chez l'enfant?,Exanthème érythémateux avec défaillance hémodynamique,Purpura fulminans avec nécrose profonde,Fasciite nécrosante avec défaillance hémodynamique,Dermato-hypodermite avec signes généraux,a
OIC-074-26-B,Quelle est la caractéristique épidémiologique de la rougeole?,Fièvre ≥ 5 jours + adénopathies cervicales + atteinte muqueuse,Exanthème maculeux sans intervalle de peau saine,Exanthème vésiculo-pustuleux,Erythème localisé infiltré chaud et douloureux,b
OIC-074-26-B-,Quelle est la principale complication liée au virus de la rougeole?,Otite moyenne aiguë,Pneumonie virale,Encéphalite aiguë précoce,Pneumonie bactérienne,c
OIC-075-01-A,Quelle est la principale voie de transmission du virus de la rubéole?,Voie digestive,Voie respiratoire,Transfusion sanguine,Contact cutané,b
