Unnamed: 0,id,question,option_a,option_b,option_c,option_d,correct_option,distractor_quality
508,OIC-050-08-A,Quel est l'objectif principal de l'évaluation de la douleur chez un patient adulte?,Identifier la cause exacte de la douleur.,Évaluer l'intensité de la douleur et son impact sur la qualité de vie.,Prescrire un traitement médicamenteux spécifique.,Documenter les plaintes du patient dans le dossier médical.,b,4
509,OIC-050-08-A-,Quelle est la principale caractéristique des douleurs nociceptives par rapport aux douleurs neuropathiques?,Elles sont toujours associées à des signes inflammatoires.,Elles ont toujours une sémiologie particulière.,Elles n'ont pas nécessairement une sémiologie particulière.,Elles sont toujours liées à une lésion tissulaire.,c,4
510,OIC-050-10-A,Quelle est une particularité de la prise en charge de la douleur chez le sujet âgé?,La douleur est toujours facilement repérable et exprimée.,La douleur est sous-estimée et sous-traitée.,La douleur est toujours plus intense chez les personnes âgées.,La douleur est uniquement due à des pathologies spécifiques à l'âge.,b,4
511,OIC-050-10-A-,Quelle est la définition principale de la douleur nociplastique selon le texte?,Une douleur causée par une lésion tissulaire activant les nocicepteurs.,Une douleur liée une altération de la nociception malgré l’absence de preuve d’une lésion tissulaire activant les nocicepteurs ou d’une maladie ou lésion affectant le système somato-sensoriel.,Une douleur causée par un désordre neurologique central des voies de la douleur.,Une douleur causée par un facteur favorisant identifié (traumatisme physique ou psychologique) sur un terrain génétique ou psychologique pré-existant.,b,4
512,OIC-050-11-B,Quel est le nombre d'actes d'anesthésie réalisés en France chaque année?,Moins de 5 millions,Plus de 10 millions,Environ 5 millions,Moins de 1 million,b,4
513,OIC-050-13-A-,Qu'est-ce qui est présenté dans la figure 3?,Le mécanisme d'action des curares.,"Les principes, indications et principales complications d'une anesthésie générale.",Les techniques d'anesthésie régionale.,Les effets secondaires de l'anesthésie locale.,b,4
514,OIC-050-14-A,Qu'est-ce qui est présenté dans la figure 5 concernant les anesthésies locales et locorégionales?,Les contre-indications,"Les principes, indications et complications",Les médicaments utilisés,Les effets secondaires,b,4
515,OIC-050-14-A-,Quel est le mécanisme d'action principal des anesthésiques locaux lors d'une anesthésie locorégionale?,Ils bloquent les canaux calciques.,Ils bloquent les canaux potassium.,Ils bloquent les canaux sodiques voltages dépendants.,Ils bloquent les canaux magnésiens.,c,4
516,OIC-050-15-A,Quelle est l'une des principales anesthésiques locaux?,La morphine,La lidocaïne,La cortisone,La quinine,b,4
517,OIC-050-15-A-,Quelle est la principale cause de la douleur viscérale pendant le travail?,Contractions utérines,Distension du plancher pelvien,Influx de fibres Aδ,Relais au niveau de la moelle épinière,a,4
518,OIC-050-16-B-,Qu'est-ce que la chirurgie ambulatoire?,Une chirurgie réalisée uniquement en urgence.,Une chirurgie réalisée en milieu hospitalier avec une nuit d'hébergement.,"Une chirurgie réalisée en conditions de sécurité d'un bloc opératoire, sous anesthésie variable, permettant la sortie du patient le jour même de son admission.",Une chirurgie réalisée uniquement pour des raisons esthétiques.,c,4
519,OIC-050-17-A,"Selon le document, quel est le groupe d'enfants concerné par les soins palliatifs en pédiatrie?",Les enfants atteints de maladies infectieuses.,Les enfants atteints d'une maladie grave engageant le pronostic vital.,Les enfants atteints de troubles mentaux.,Les enfants atteints de maladies chroniques.,b,4
520,OIC-050-17-A-,Qu'est-ce qui est vrai concernant le deuil périnatal?,Il est toujours facile à gérer.,Il est une perte mineure.,Il est toujours traumatique.,Il est similaire au deuil d'un bébé né.,c,4
521,OIC-051-01-A,Qu'est-ce qui définit une maladie infectieuse transmissible?,Seule la présence d'un agent infectieux.,Seule sa capacité à se transmettre entre individus.,La présence d'un agent infectieux ET sa capacité à se transmettre entre individus.,Seule sa capacité à se transmettre à plusieurs individus à partir d’une source commune.,c,4
522,OIC-051-01-A-,Quel est l'objectif principal de la surveillance des maladies infectieuses transmissibles?,Décrire les symptômes des maladies.,Identifier les causes des maladies.,Mettre en place et évaluer des mesures de prévention et de contrôle.,Traiter les patients atteints de maladies.,c,4
523,OIC-051-02-B,Quelle est la principale structure en charge de la surveillance des maladies infectieuses en France?,Les Centres Nationaux de Référence,Les Agences Régionales de Santé,Santé Publique France,Les Réseaux Sentinelles,c,4
524,OIC-051-02-B-,Quel indicateur épidémiologique mesure le nombre de nouveaux cas d'une maladie dans une population pendant une période donnée?,Prévalence,Incidence,Taux d’attaque,Nombre de reproduction de base,b,4
525,OIC-051-05-B,Quelle est la principale méthode de transmission de la tuberculose?,Transmission horizontale directe par contact direct,Transmission horizontale indirecte par l'air,Transmission verticale de la mère à l'enfant,Transmission par des vecteurs vivants,b,4
526,OIC-051-05-B-,Quel est le principal objectif de la déclaration obligatoire des maladies infectieuses?,Faciliter la recherche de nouveaux traitements pour les maladies infectieuses.,Protéger la santé des populations et disposer d'informations actualisées.,Réduire les coûts de la santé publique.,Limiter l'accès aux soins pour les patients atteints de maladies infectieuses.,b,4
527,OIC-051-06-A,Qu'est-ce qui définit un Centre National de Référence (CNR)?,Un laboratoire privé spécialisé dans la recherche sur les maladies infectieuses.,"Un laboratoire public ou privé de santé, d'enseignement ou de recherche, nommé pour 5 ans par le ministre chargé de la Santé.",Un organisme international chargé de la surveillance des maladies infectieuses.,Un service de santé uniquement dédié à la prévention des maladies infectieuses.,b,4
528,OIC-051-06-A-,Quel est un exemple de contrôle du réservoir ou de sa porte de sortie?,"Eviction scolaire ou d’une collectivité, arrêt de travail,","Isolement géographique des porteurs dans le cadre des précautions complémentaires lors de soins,","Mesures vétérinaires si le réservoir est animal,","Assainissement de l’environnement, traitement des eaux, éradication des larves d’insectes ou de mollusques.",b,4
529,OIC-056-01-A,"Selon le texte, quelle est la source de la liste des maladies nécessitant des mesures d'éviction ou d'isolement en collectivités?",Le Ministère de la Santé,Le Haut Conseil de la Santé Publique,Le Ministère de l'Éducation Nationale,"Le Ministère de l'Enfance, de l'Aînesse et des Familles",b,4
530,OIC-056-02-A-,Quelle est la complication thrombo-embolique la plus fréquente chez les porteurs de prothèses valvulaires mécaniques?,Désinsertion de prothèse,Dégénérescence des bioprothèses,Complications hémorragiques liées aux AVK,Endocardite infectieuse,c,4
531,OIC-056-03-A,Quel est le rythme du suivi clinique chez le médecin traitant?,Mensuel,Trimestriel,Annuel,Quatriennal,b,4
532,OIC-056-03-A-,Quelle est la principale raison pour laquelle les porteurs de prothèses valvulaires sont considérés comme ayant un risque infectieux accru?,Leur âge avancé.,La présence d'une prothèse valvulaire.,Leur état de santé général.,Leur niveau d'activité physique.,b,4
533,OIC-056-05-A,Quelle est la définition générale des infections ostéo-articulaires (IOA)?,Une infection virale du tissu osseux.,"Une multiplication d’un agent infectieux, le plus souvent bactérien, au sein du tissu osseux et/ou articulaire.",Une inflammation des articulations causée par des champignons.,Une infection bactérienne qui affecte uniquement les os.,b,4
534,OIC-056-06-A,Quelle est la voie d'inoculation la plus fréquente pour les infections ostéo articulaires (IOA) chez l'enfant?,Contiguïté,Inoculation,Hémoculture positive,Contamination directe,a,1
535,OIC-056-06-A-,"Selon le contenu éducatif, quel est le principal agent infectieux responsable des IOA chez l'enfant de plus de 4 ans?",Streptocoque de groupe B,Escherichia coli,Staphylococcus aureus,Kingella kingae,c,4
536,OIC-056-07-B-,Quel examen d'imagerie est le plus utile pour détecter les signes précoces d'une atteinte inflammatoire ostéo-articulaire?,Radiographie conventionnelle,Scanner sans injection de produit de contraste,IRM,Imagerie fonctionnelle,c,4
537,OIC-056-08-B-,"Dans le contexte des infections ostéo articulaires (IOA), quelle est la principale indication chirurgicale?","Traitement systématique de toutes les IOA, quel que soit leur stade.",Débridement et ablation des séquestres dans les ostéites chroniques.,Drainage des abcès périosté dans les formes non compliquées d’arthrite aiguë de l’adulte.,Prévention de la maladie thrombo-embolique veineuse dans toutes les IOA.,b,4
538,OIC-056-09-B,Qu'est-ce qui est considéré comme une urgence thérapeutique en cas d'arthrite septique?,Une infection bactérienne à faible virulence.,Une inflammation articulaire chronique.,Une infection bactérienne qui peut entraîner des complications graves.,Une infection virale bénigne.,c,4
539,OIC-056-09-B-,Quelle est la localisation la plus fréquente de l'arthrite septique aiguë?,Polyarticulaire,Genou,Hanche,Cou,b,4
540,OIC-070-01-A-,Quelle est la durée totale de traitement antibiotique chez l'adulte?,1 semaine,2 semaines,4 à 6 semaines,10 semaines,c,4
541,OIC-070-02-B,Quelle est la principale raison pour laquelle une antibiothérapie probabiliste est déconseillée en cas de suspicion d'infection disco-vertébrale?,Elle est trop coûteuse.,Elle peut retarder la prise en charge thérapeutique.,Elle est toujours efficace.,Elle est toujours nécessaire.,b,4
542,OIC-070-02-B-,Quelle est la localisation la plus fréquente d'une spondylodiscite?,Cervicale,Thoracique,Lombaire,Scapulaire,c,4
543,OIC-070-03-B,Quelle est une complication neurologique possible d'une spondylodiscite?,Sepsis,Abcès para-vertébraux,Syndrome lésionnel,Destruction rachidienne,c,4
544,OIC-070-03-B-,Quel examen est généralement considéré comme le premier choix pour diagnostiquer une spondylodiscite?,Scanner,Scintigraphie osseuse,IRM,Echographie cardiaque,c,4
545,OIC-070-04-B-,Quelle est la principale cause des infections ostéo articulaires (IOA) chez l'enfant et l'adulte?,Virus,Bactéries,Champignons,Parasites,b,4
546,OIC-070-05-A,Quelle est la première image à réaliser chez un patient présentant une ostéite chronique de l'adulte?,IRM,Scanner,Radiographie simple,Échographie,c,4
547,OIC-070-05-A-,,,,,,,1
548,OIC-070-06-A-,"Quelles localisations septiques secondaires doivent être recherchées en cas de fongémie, en particulier devant une fièvre persistante ou la non-négativation des hémocultures sous traitement?",Seulement les localisations rétiniennes.,Seulement les localisations cutanées.,"Toutes les localisations septiques secondaires, notamment les rétiniennes, les endocardites et les cathéters.",Seulement les localisations hépato-spléniques.,c,4
549,OIC-070-07-B,Quel est l'agent infectieux le plus fréquent dans les bactériémies communautaires chez l'adulte?,Streptococcus pneumoniae,Escherichia coli,Staphylococcus aureus,Streptococcus pyogenes,b,4
550,OIC-070-07-B-,Quelle est la cause la plus fréquente de candidémie?,C. glabrata,C. parapsilosis,C. albicans,C. tropicalis,c,4
551,OIC-070-09-A,Quand est-il nécessaire de prélever une hémoculture avant de commencer une antibiothérapie d'urgence?,Lorsque le patient est en état de choc septique.,Lorsque le patient présente un purpura fulminans.,Avant le début de l'antibiothérapie.,Lorsque le patient présente une méningite bactérienne.,c,4
552,OIC-070-10-B,"Selon le contenu, quel examen est systématique pour les patients atteints de bactériémie par Staphylococcus aureus?",ECBU,Radiographie de thorax,Échocardiographie,Imagerie abdominale,c,4
553,OIC-070-10-B-,Quelle est la principale limitation des marqueurs bio-inflammatoires comme la protéine C-réactive (CRP) et la procalcitonine dans l'interprétation d'une bactériémie/fongémie?,Ils sont très spécifiques et permettent de diagnostiquer rapidement l'infection.,"Ils sont toujours élevés, même en l'absence d'infection.",Ils sont non spécifiques et leur valeur est limitée à l'orientation.,Ils sont uniquement utiles pour les enfants.,c,4
554,OIC-073-01-A,Quel est le critère principal pour le choix de l'antimicrobien dans une bactériémie/fongémie?,L'antibiogramme disponible immédiatement,La porte d'entrée suspectée cliniquement,L'examen direct de l'hémoculture,L'identification de l'espèce bactérienne,b,4
555,OIC-073-01-A-,Quel antibiotique est indiqué pour un Staphylococcus aureus résistant à la méticilline (SARM)?,Pénicilline M,Vancomycine,Céphalosporine de 1ère génération,Amoxicilline,b,4
556,OIC-073-02-A-,Dans quel cas un avis chirurgical ou radio-interventionnel est-il indispensable pour discuter d'une éventuelle évacuation d'une source infectieuse?,Lors d'une infection cutanée légère.,Lors d'une infection virale.,Lors d'une urgence abdominale avec péritonite.,Lors d'une infection fongique bénigne.,c,4
557,OIC-073-03-B-,Quel facteur est le plus susceptible d'augmenter le risque d'une infection à Staphylococcus aureus résistant à la méticilline (SARM) chez un patient présentant une infection liée aux soins?,Une courte durée d'hospitalisation,Un antécédent récent de chirurgie ou d'endoscopie,Un antécédent récent de colonisation ou d'infection à un agent infectieux multi-résistant,Une pression de sélection par antibiothérapie antérieure courte,c,4
558,OIC-073-04-A,"Selon le texte, quelle est une indication pour un suivi systématique des hémocultures sous traitement?",Bactériémie à Streptococcus pneumoniae,Bactériémie à Staphylococcus aureus,Candidémie,Endocardite,b,4
559,OIC-073-04-A-,Quelle est la définition d'une cystite selon le texte?,"Une infection du réservoir et de la muqueuse vésicale, d'origine bactérienne ou mycosique, et toujours fébrile.","Une infection du réservoir et de la muqueuse vésicale, d'origine bactérienne ou mycosique, et généralement apyrétique.","Une infection du réservoir et de la muqueuse vésicale, d'origine bactérienne ou mycosique, et toujours fébrile.","Une infection du réservoir et de la muqueuse vésicale, d'origine bactérienne ou mycosique, et peut être fébrile ou apyrétique.",b,4
560,OIC-073-05-B,Quel est l'agent pathogène le plus fréquemment isolé lors d'infections urinaires communautaires?,Proteus mirabilis,Staphylococcus saprophyticus,Escherichia coli,Enterococcus faecalis,c,4
561,OIC-073-05-B-,"En cas de cystite simple, quel examen complémentaire est recommandé?",Imagerie par TDM,ECBU avec antibiogramme,BU,Urée,c,4
562,OIC-073-06-B,"En cas de pyélonéphrite aiguë simple, quel examen d'imagerie est recommandé en première intention?",IRM,Cystographie rétrograde,Échographie des voies urinaires,Scintigraphie au MAG3,c,4
563,OIC-073-07-B-,Qu'est-ce qu'une colonisation urinaire?,Une infection urinaire avec des symptômes.,La présence de bactéries dans les urines sans symptômes.,Une infection urinaire qui nécessite un traitement immédiat.,Une infection urinaire qui ne nécessite pas de traitement.,b,4
564,OIC-073-08-B,Qu'est-ce qui est le plus important à retenir concernant le diagnostic de cystite?,Les symptômes anciens ne sont jamais infectieux.,Les symptômes du bas appareil urinaire sont toujours d'origine infectieuse.,Les symptômes aigus sont le principal indicateur d'une cystite.,La dysurie est le seul symptôme d'une cystite.,c,4
565,OIC-073-08-B-,Qu'est-ce qui distingue une pyélonéphrite simple d'une pyélonéphrite à risque de complication?,La présence de fièvre.,La douleur lombaire unilatérale.,La présence d'un obstacle des voies urinaires.,La présence de nausées et de vomissements.,c,4
566,OIC-073-09-B,"Selon le texte, quel est le pourcentage de guérison spontanée de la cystite simple à 1 mois?",10%,50%,90%,100%,b,4
567,OIC-074-01-A,"Selon le texte, quel est le critère de risque de complication pour une pyélonéphrite aiguë?",L'âge de moins de 65 ans,L'absence d'anomalie de l'appareil urinaire,L'immunocompétence,L'absence de grossesse,a,4
568,OIC-074-02-B,"Quelle est la durée de traitement recommandée pour une infection urinaire masculine en cas d'utilisation de fluroroquinolones, de C3G IV ou de cotrimoxazole?",7 jours,14 jours,21 jours,28 jours,b,4
569,OIC-074-03-A,"Dans le sujet âgé, quel est le diagnostic d'infection urinaire?",Diagnostic certain,Diagnostic de présomption,Diagnostic différentiel,Diagnostic exclusif,b,4
570,OIC-074-03-A-,Quels sont les signes d'une infection urinaire chez un enfant de moins de 3 mois?,Dysurie et pollakiurie,Fièvre isolée et lombalgie,Difficulté d'alimentation et mauvaise prise de poids,Urines malodorantes et incontinence urinaire,c,4
571,OIC-074-05-B,"Dans le contexte des infections urinaires récidivantes, quel examen est recommandé pour confirmer le lien entre les symptômes et la bactériurie?",Scanner vésical,Cystographie,ECBU,Échographie rénale,c,4
572,OIC-074-05-B-,Quel est le principal critère pour l'utilisation d'une antibioprophylaxie au long cours pour les cystites récidivantes?,Une fréquence élevée de rapports sexuels.,Un diagnostic de cystite post-coïtale.,Des facteurs de risque spécifiques à chaque patiente.,Un échec des mesures hygiéno-diététiques.,d,4
573,OIC-074-06-B,"Selon le texte, quel facteur favorise les infections urinaires chez l'enfant?",L'âge avancé,La maturation de la vessie,L'immaturité avec anomalie de la vidange vésicale,L'absence de réservoir bactérien,c,4
574,OIC-074-06-B-,Quelle est la principale caractéristique de Neisseria gonorrhoeae?,Un bacille Gram positif,Un diplocoque encapsulé Gram négatif intracellulaire,Un spirillum Gram négatif,Un champignon intracellulaire,b,4
575,OIC-074-07-A,Quelle IST est la plus fréquente en Europe?,Gonococcie,Chlamydiose,Infection à HPV,Syphilis,c,4
576,OIC-074-07-A-,Quelle est une mesure préventive des IST mentionnée dans le texte?,Vaccination contre la grippe,Utilisation de préservatifs,Consommer des compléments alimentaires,Exercice physique régulier,b,4
577,OIC-074-08-A,Quel est l'un des tests proposés pour identifier le(s) partenaire(s) contaminé(e)s lors d'une IST?,Test de la glycémie,Test tréponémique,Test de la tension artérielle,Test de la fonction rénale,b,4
578,OIC-074-08-A-,Quel est le principal signe clinique de la chancre mou?,Ulcérations superficielles douloureuses à contours polycycliques,"Unique à fond propre, induré, localisation variable","Lésion(s) unique/multiples, fond sale, douleurs (+++), adénopathies inflammatoires",Lésions peu douloureuses granulomateuses,c,4
579,OIC-074-09-A,"Quel est le principal symptôme associé à l'herpès génital, comme illustré dans l'image?",Fièvre,Douleur abdominale,Lésions millimétriques douloureuses post-vésiculeuses à bordure inflammatoire du gland,Éruption cutanée généralisée,c,4
580,OIC-074-09-A-,Qu'est-ce qui est décrit comme une caractéristique du chancre syphilitique primaire?,Douleur,Induration,Indolore,Fibrineux,c,4
581,OIC-074-10-B,Quel est un signe clinique de l'urétrite masculine?,Prostatite,Orchiépididymite,Dysurie,Douleurs abdominales,c,4
582,OIC-074-11-A,Quel est un signe clinique d'une infection génitale basse chez la femme?,Fièvre,Cervicite,Toux,Maux de tête,b,4
583,OIC-074-11-A-,Quelle est une manifestation typique de la salpingite?,Douleur pelvienne légère,Fièvre légère,"Douleurs pelviennes, métrorragies et inflammation endocol",Écoulement vaginal,c,4
584,OIC-074-12-A,Quelle est une caractéristique clinique de la gonorrhée chez la femme?,Leucorrhées blanchâtres,Leucorrhées purulentes,Prurit intense,Vulvite,b,4
585,OIC-074-12-A-,Quelle est une cause d'infection génitale haute chez la femme?,Streptocoque,Chlamydiose,Mycoplasma genitalium,Staphylocoque,b,4
586,OIC-074-13-A-,Quel examen complémentaire est systématique pour le gonocoque?,Sérologie,PCR,Culture,CRP,c,4
587,OIC-074-15-A,Quel est le traitement initial recommandé pour une urétrite ou une cervicite probabiliste à gonocoque et à chlamydia?,Azithromycine 1g dose unique,Ceftriaxone dose unique IM ou IV 1000 mg,Doxycycline 200 mg PO 7 jours,Amoxicilline 500mg PO 3 fois par jour,b,4
588,OIC-074-16-A,Quel est le traitement de première intention pour la gonorrhée?,Azithromycine,Ceftriaxone,Doxycycline,Métronidazole,b,4
589,OIC-074-17-A,Quelle est une mesure de prévention recommandée pour les infections sexuellement transmissibles (IST)?,Utiliser des méthodes de contraception hormonales.,Éviter les rapports sexuels.,Utiliser des préservatifs.,Ignorer les symptômes.,c,4
590,OIC-074-17-A-,Quel est le signe clinique le plus caractéristique de la syphilis primaire?,Rosée syphilitique,ADP satellite,Chancre,Syphilides papuleuses,c,4
591,OIC-074-18-A,Qu'est-ce qui définit la syphilis latente tardive?,La présence de signes cliniques.,La découverte d'une sérologie négative.,L'absence de signes cliniques et la découverte d'une sérologie positive dont la date présumée du contact est de plus d'un an.,La présence de signes cliniques et la découverte d'une sérologie négative.,c,4
592,OIC-074-18-A-,Quelle est la caractéristique la plus distinctive des palmoplantaires dans la syphilis secondaire?,Elles sont douloureuses et prurigineuses.,Elles sont indolores et non prurigineuses.,Elles sont présentes uniquement sur les mains.,Elles sont toujours accompagnées de fièvre.,b,4
593,OIC-074-19-A-,Quel est le principal avantage des tests tréponémiques (TT) par rapport aux tests non tréponémiques (TNT)?,Ils sont plus rapides et moins coûteux.,Ils sont plus spécifiques et permettent une détection plus précoce.,Ils sont plus faciles à interpréter.,Ils sont plus sensibles aux infections à d'autres bactéries.,b,4
594,OIC-074-20-A,Quel est le traitement de première intention pour la syphilis primaire chez un patient VIH positif?,Doxycycline 14 jours,"Benzathine pénicilline G dose unique IM 2,4 millions d’unités",Azithromycine 1g IM,Amoxicilline 1g IM,b,4
595,OIC-074-20-A-,,,,,,,1
596,OIC-074-21-A,Quel est le principal facteur de risque pour le développement de la néoplasie intra épithéliale (NIE)?,Gonorrhée,Chlamydia,Papillomavirus humain (HPV),Trichomonose,c,4
597,OIC-074-22-B,,,,,,,1
598,OIC-074-22-B-,Quel est le prélèvement recommandé pour le diagnostic d'une gonorrhée chez une femme?,Écoulement urétral spontané,Auto-écouvillonnage vaginal,Premier jet urinaire,Culture sur gélose sang cuit,b,4
599,OIC-074-23-B,,,,,,,1
600,OIC-074-23-B-,Quelles sont les principales conséquences à long terme des IGH chez la femme?,Infections urinaires,"Algies pelviennes inflammatoires, stérilité tubaire et grossesse extra-utérine",Hypertension artérielle,Diabète,b,4
601,OIC-074-24-A,Quelle est une particularité des IST chez la jeune fille?,Les signes cliniques sont toujours les mêmes.,L'atteinte peut concerner les yeux et les voies respiratoires.,L'interrogatoire et l'examen clinique doivent être minutieux et prudents.,Les cancers HPV induits se développent rapidement.,c,4
602,OIC-074-24-A-,Qu'est-ce qui est représenté sur la photographie?,Gonorrhée,Chlamydia,Condylomes,Syphilis,c,4
603,OIC-074-25-B-,Quel est le principal facteur de gravité dans le syndrome de choc toxique staphylococcique?,La présence de purpura fulminans,La présence de fasciite nécrosante,La libération de toxine par un foyer bactérien,La présence d'une réaction DRESS,c,4
604,OIC-074-26-B-,Quelle est la principale cause de mortalité infantile dans le monde?,La rougeole,La pneumonie,L'encéphalite,La diarrhée,b,4
605,OIC-075-01-A,Quel est le principal risque de la rubéole pendant la grossesse?,Une éruption cutanée persistante.,Un retard de croissance du fœtus.,Des malformations congénitales.,Une fièvre élevée.,c,4
606,OIC-075-01-A-,Quelle est la principale voie de transmission du parvovirus B19?,Transfusion sanguine,Contact direct avec des animaux,Voie respiratoire,Contact alimentaire,c,4
607,OIC-075-02-A,Quelle est la principale voie de transmission du virus HHV6 responsable de la roséeole?,Transmission par contact direct avec des animaux,Transmission par voie respiratoire,Transmission par contact avec des insectes,Transmission par contact avec des aliments contaminés,b,4
608,OIC-075-03-B,Quelle est la principale cause de la scarlatine?,Le virus de la varicelle,La toxine érythrogène du Streptocoque du groupe A,Le virus de la grippe,La bactérie Helicobacter pylori,b,4
609,OIC-075-03-B-,Quelle est la principale caractéristique démographique des patients atteints de maladie de Kawasaki?,Adultes,Personnes âgées,Jeunes enfants (< 5 ans),Adolescents,c,4
610,OIC-075-04-B,"La varicelle est une infection virale très fréquente chez l'enfant, causée par le virus VZV (Varicella Zoster Virus).",Vrai,Faux,Le virus VZV est responsable de la varicelle.,La varicelle est une infection rare chez l'enfant.,a,2
611,OIC-075-05-B,Quelle est la cause la plus fréquente de diarrhée chez l'enfant?,Causes inflammatoires,Causes infectieuses virales,Causes allergiques,Causes médicamenteuses,b,4
612,OIC-075-05-B-,"Quelle est la principale cause d'insuffisance rénale aiguë (IRA) chez l'enfant avant 3 ans, mentionnée dans le texte?",L'infection par le virus de l'hépatite A,Le syndrome hémolytique et urémique (SHU),La diarrhée infectieuse,L'infection par le rotavirus,b,4
613,OIC-075-06-A,Dans quel contexte est le Vibrio cholerae le plus souvent associé à une diarrhée aiguë infectieuse?,Dans un contexte TIAC,Dans un contexte humanitaire,Dans un contexte post-antibiotique,Dans un contexte autochtone isolée,b,4
614,OIC-075-06-A-,Quelle est la principale raison pour laquelle la recherche de Clostridium difficile est généralement inutile chez les enfants de moins de 4 ans?,La présence de toxines est toujours détectée.,Le récepteur à la toxine est absent.,Les enfants sont rarement colonisés par Clostridium difficile.,La recherche de Clostridium difficile est toujours positive.,b,4
615,OIC-075-07-B,"Selon le texte, quel parasite est fréquemment retrouvé chez l'adulte après un voyage?",Cryptosporidium,Giardia intestinalis,Microsporidia,Cyclosporose,b,4
616,OIC-075-07-B-,Quel examen complémentaire est indiqué chez l'adulte en cas de diarrhées lors d'une hospitalisation et/ou post-antibiotique?,Coproculture,Examen parasitologique des selles,La recherche de toxines de C. difficile,Hémocultures,c,4
617,OIC-075-08-A,Quand est indiquée la recherche d'anguillulose?,En cas de diarrhée aiguë sans antécédents de voyage.,En cas de séjour prolongé en zone d'endémie et en cas d'hyperéosinophilie.,En cas de selles glairo-sanglantes au retour d'un voyage en zone endémique.,En cas de troubles digestifs persistants chez l'enfant ou l'adulte.,b,4
618,OIC-075-08-A-,Le bilan de retentissement est principalement utilisé pour évaluer...,La cause de la diarrhée.,La déshydratation.,Le risque de sepsis.,La fonction rénale.,b,4
619,OIC-075-09-A,Quelle est une indication de la rectosigmoïdoscopie/colonoscopie?,Détermination de la cause de la diarrhée chez l'enfant.,Visualisation des lésions évocatrices et réalisation de biopsies.,Évaluation de la fonction intestinale chez l'adulte.,Diagnostic de la colite ulcéreuse.,b,4
620,OIC-075-09-A-,Quel est le principal risque de la diarrhée aiguë chez l'enfant?,L'hypernatrémie,La déshydratation,La malnutrition,L'hypovolémie,b,4
621,OIC-075-10-A,Quelle est la priorité dans la prise en charge symptomatique de la diarrhée chez l'adulte?,Réduire l’intensité de la diarrhée,Corriger ou prévenir la déshydratation en privilégiant la voie orale quand possible,Augmenter l’apport en fibres,Utiliser des médicaments anti-diarrhéiques,b,4
622,OIC-075-10-A-,"Selon le texte, quel est le principal critère pour décider si un adulte doit recevoir un antibiotique pour une diarrhée?",La présence de fièvre.,L'âge de l'individu.,La présence d'un terrain à risque.,Le type de selles.,c,4
623,OIC-075-11-A,Quelle est une mesure de prévention primaire de la diarrhée infectieuse mentionnée dans le texte?,Vaccination contre la typhoïde,Éviction de la collectivité,Bonne hygiène des mains,Consommation d'eau traitée,c,4
624,OIC-075-11-A-,Qu'est-ce qu'une toxi-infection alimentaire collective?,Une infection causée par des bactéries présentes dans l'eau.,Une infection causée par des virus présents dans l'eau.,Une infection causée par des toxines présentes dans l'alimentation.,Une infection causée par des parasites présents dans l'alimentation.,c,4
625,OIC-075-12-A,Qu'est-ce qui est considéré comme une situation à prendre en charge en urgence selon le contenu éducatif?,Une légère diarrhée,Une déshydratation sévère,Une simple intoxication alimentaire,Une légère fièvre,b,4
626,OIC-075-12-A-,Quel est le principal objectif de la réhydratation orale (RO)?,Traiter la cause de la diarrhée.,Remplacer les électrolytes perdus.,Réduire la fréquence des selles.,Soulager la douleur abdominale.,b,4
627,OIC-075-13-A,Quelle est la principale voie de transmission de l'amoebose?,Par la consommation de viande contaminée,Par l'ingestion d'eau ou d'aliments contaminés par des kystes,Par la transmission directe entre personnes,Par la consommation de produits laitiers contaminés,b,4
628,OIC-075-13-A-,Quelle est la principale voie de transmission de la taeniasis?,Par ingestion d'eau contaminée,Par ingestion d'œufs de vers plats,Par ingestion de larves contenues dans la viande peu cuite,Par contact direct avec des animaux infectés,c,4
629,OIC-075-14-A,Quelle est une des principales situations cliniques liées à la consommation d'eau polluée?,Perturbation endocrinienne,Hépatite,Troubles gastro-intestinaux,Cancers,c,4
630,OIC-075-14-A-,Quelle est la principale source de pollution chimique de l'eau mentionnée dans le texte?,La pollution thermique,La pollution radioactive,La pollution chimique,La pollution microbienne,c,1
631,OIC-075-15-A,Quelle est la première étape de la prévention des risques sanitaires liés à l’eau?,Filtration et traitement de l’eau,Protection des points de captage,Contrôle de qualité,Entretien du réseau de distribution,b,4
632,OIC-075-15-A-,Quel est un risque lié à l'alimentation mentionné dans le texte?,Atteinte hépatique,Perturbation endocrinienne,Troubles gastro-intestinaux,Atteinte neurologique,c,4
633,OIC-075-16-A,Qu'est-ce qu'une TIAC?,Une infection virale grave.,Une infection bactérienne à symptomatologie neurologique.,L'apparition d'au moins 2 cas d'une symptomatologie digestive liée à une même origine alimentaire.,Une intoxication alimentaire causée par des champignons.,c,4
634,OIC-075-17-A,"Selon le texte, quel est le principal critère pour suspecter une TIAC?",La présence de symptômes neurologiques uniquement.,La survenue de cas groupés de troubles gastro-intestinaux ou neurologiques.,Le respect strict des mesures d’hygiène.,L’absence de contact avec des personnes malades.,b,4
